topic_id,topic_size,top_words,suggestion_1,suggestion_2,suggestion_3,central_example_1,central_example_2,central_example_3,central_example_4,central_example_5,boundary_example_1,boundary_example_2,boundary_example_3,boundary_example_4,boundary_example_5,relevance,selected_name_option,manual_name,notes,annotator_id,annotated_at
34,110,"['katlen', 'ketlin', 'kat', 'ket', 'grávida', 'ketlen', 'novo', 'está', 'novamente', 'passar']",Estar grávida de novo,Ela está grávida novamente,Confirmar gravidez novamente,A Ketlin está grávida de verdade?,Será que a Katlen está grávida?,Ketlin está grávida de verdade?,Ketlen está grávida novamente?,A Katlen está grávida de verdade?,Quem diz que é melhor matar para não morrer de fome realmente pensa no que está dizendo?,Os testes juntos na caixinha podem se contaminar?,Vale a pena ter outro filho diante do risco de passar por um parto normal doloroso?,O que significa dizer que vai ter que passar por tudo isso de novo no parto?,"Se Ketlin estiver grávida, o Void é o pai do bebê?",,,,,,
35,108,"['estar', 'menstruação', 'menstruado', 'tendo', 'ausência', 'grávida', 'veio', 'indicar', 'mesmo', 'menstruar']",Possibilidade de gravidez com atraso menstrual,Suspeita de gravidez com menstruação ausente,Indícios de gravidez na ausência menstrual,É possível estar grávida mesmo tendo ficado um mês sem menstruar e depois ter vindo uma menstruação em pouca quantidade?,É possível estar grávida se a última menstruação foi em 10 de janeiro e não veio em fevereiro nem em março?,"Com a menstruação atrasada há um mês, posso estar grávida?","É possível estar grávida quando a menstruação já atrasou novamente, depois de no mês anterior ter descido com 7 dias de atraso?","Se a menstruação veio no dia 1º de setembro e até agora não desceu, posso estar grávida?",Posso estar grávida?,"Mesmo usando DIU e tendo menstruado duas vezes no mês, a dor na parte baixa da barriga e o inchaço podem ser sinal de gravidez?","Se, sete dias após a relação, o aumento e a sensibilidade nos seios da namorada podem ser sinais de gravidez?",Como diferenciar os sintomas de gravidez dos sintomas da menstruação e dos efeitos colaterais do anticoncepcional?,"Mesmo sem sintomas de menopausa e com ciclos sempre normais, a ausência da menstruação pode ainda ser sinal de gravidez?",,,,,,
36,132,"['dor', 'analgesia', 'parto', 'mulheres', 'epidural', 'dói', 'comparar', 'algumas', 'durante', 'normal']",Dor e analgesia no parto,Dor do parto e analgesia epidural,Dor no parto e analgesia durante o trabalho de parto,É comum não sentir tanta dor durante o parto?,A dor do parto é insuportável?,É verdade que a dor do parto é insuportável?,É normal não sentir dor durante o parto?,Esse tipo de parto sem dor é fácil assim para todas as mulheres?,O que devo fazer se estiver saindo da minha região íntima algo branco com aparência de sangramento arterial?,Essa dor é normal?,Você disse que isso funciona para todas as mulheres ou para a maioria delas?,As mulheres inférteis também agradecem?,Você é quem precisa sentir uma dor pior do que ser queimado vivo?,,,,,,
37,107,"['produção', 'materno', 'leite', 'aumentar', 'posso', 'minha', 'fórmula', 'suficiente', 'voltar', 'colostro']",Aumento da produção de leite materno,Como aumentar o leite materno,Produção suficiente de leite materno,Como posso aumentar minha produção de leite materno se tenho pouco leite e consigo amamentar pouco?,Como aumentar a produção de leite materno quando estou sem leite no peito?,Como posso aumentar a produção de leite materno?,Como posso aumentar a produção de leite materno para conseguir amamentar meu bebê até os 6 meses?,O que é bom para aumentar a produção de leite materno?,O líquido amniótico pode aumentar depois de ter caído para 8 com 18 semanas de gestação?,"O líquido amniótico de uma gestante com 18 semanas, que caiu para 8, pode aumentar novamente?","Seus seios não doeram, mas pareceram aumentar um pouco e ficar mais moles?",A ausência desse hormônio significa que as mães não amam o bebê ou que o vínculo com ele fica mais fraco?,"Uma gestante de 40 semanas, com hipoplasia mamária e SOP, pode estimular a saída de colostro com a bomba?",,,,,,
38,89,"['alparone', 'giovanna', 'grávida', 'está', 'quem', 'pai', 'real', 'verdade', 'informação', 'falsa']",Gravidez atribuída a Giovanna Alparone,Notícia de gravidez de Giovanna Alparone,Afirmação de gravidez de Giovanna Alparone,É verdade que Giovanna Alparone está grávida?,A Giovanna Alparone está grávida de verdade?,É real que Giovanna Alparone está grávida?,Giovanna Alparone está grávida mesmo?,É verdade que a Giovanna Alparone está grávida?,"Qual é o valor real da maternidade São Luiz Star, já que o custo não seria de apenas 19 mil reais?",Ela está grávida mesmo com apenas 15 anos?,Como você engravidou tão rápido?,Ela está grávida mesmo sendo adolescente?,A barriga mostrada por Giovanna Alparone é real ou de silicone?,,,,,,
39,111,"['bomba', 'tirar', 'leite', 'elétrica', 'bombinha', 'minutos', 'sucção', 'resolver', 'extrair', 'extratora']",Uso e funcionamento de bomba de leite,Dificuldade na extração com bomba tira-leite,Carregamento e sucção da bomba elétrica,Como carregar a bombinha de tirar leite?,Por que a bomba de leite está retirando bem pouco leite?,O que estava acontecendo com a sua bomba elétrica de tirar leite quando ela também não fazia sucção?,"Como usar a bombinha de tirar leite para conseguir extrair leite, se ao usar não sai nada?",Estou usando a bomba de extração de leite de forma errada?,Um bebê de 4 meses com hérnia já foi levado ao médico para avaliar a melhor forma de resolver o problema?,"Depois, os 5 minutos devem ser divididos em 5 minutos em um seio e 5 minutos no outro?",Esse silicone libera algum material tóxico durante a esterilização?,Demorou cerca de quantos minutos para a tremedeira se estabilizar após o parto?,Esse silicone libera toxinas?,,,,,,
40,103,"['sentir', 'enjoos', 'enjoo', 'normal', 'início', 'gravidez', 'dor', 'ventre', 'azia', 'cólicas']",Enjoo e desconforto no início da gravidez,Náuseas e mal-estar na gestação inicial,Enjoo e sintomas gástricos na gravidez,"É normal parar de sentir dor com seis semanas de gravidez, estando com sete semanas?",É normal que os enjoos no início da gravidez impeçam de comer?,É normal sentir mais sofrimento nesta gravidez do que na primeira gravidez?,"É normal não sentir cólicas nesta quarta gravidez, como aconteceu nas gestações anteriores?","Na gravidez de 5 semanas, é normal sentir tanta dor a ponto de quase não conseguir caminhar e ter dificuldade para defecar?",É comum sentir enjoo ao usar o Junno?,"Como aliviar as cólicas da minha bebê, sendo esta a minha primeira filha?","Se o bebê vomitar de barriga para baixo, o líquido consegue sair?",Você está sentindo enjoo?,"É normal estar há 3 dias saindo muco, com dores no baixo ventre e sem dilatação?",,,,,,
41,98,"['chá', 'gestantes', 'tomar', 'consumir', 'café', 'podem', 'consumo', 'orégano', 'canela', 'limão']",Consumo de chás e temperos na gestação,Chás e temperos durante a gravidez,Aptidão de chás e especiarias na gestação,Quais chás uma gestante pode tomar?,Quais chás estão sendo tomados durante a gravidez?,Gestantes podem tomar chá de hortelã?,Gestantes podem tomar chá de erva-doce?,"Durante o primeiro mês de gravidez, pode-se tomar chá?",Quem tem H. pylori pode tomar VT K10?,"O que o Timmy tem para precisar tomar remédio e consumir leite, manteiga e pão especiais?","Quando o doutor fala em mate, ele se refere ao chimarrão ou ao chá-mate?",Um bebê de 1 mês pode tomar água após as mamadas?,"Depois do parto, a mulher pode ir à piscina?",,,,,,
42,88,"['tia', 'sara', 'mariana', 'grávida', 'bia', 'está', 'verdade', 'sarah', 'thally', 'sofia']",confirmação da gravidez,é verdade que está grávida,declaração de gravidez verdadeira,A Tia Sara está grávida de verdade?,A tia Sara está realmente grávida?,Tia Sara está grávida de verdade?,A tia Sara está grávida mesmo?,A tia Sara está grávida novamente?,"Qual foi a causa da morte da Sofia, filha da cantora Lexa?",Onde Ana Hickmann disse que estava grávida?,A Isabel pretende ter mais filhos?,Por que a senhora decidiu engravidar depois da Natália Valente?,Por que as coisas são só para a Sara e não para o Timi?,,,,,,
43,152,"['negativo', 'atraso', 'menstrual', 'teste', 'negativos', 'testes', 'estar', 'atrasada', 'farmácia', 'mesmo']",Gravidez com teste negativo e atraso menstrual,Possibilidade de gravidez com atraso menstrual,Teste negativo na gravidez com atraso menstrual,É possível estar grávida mesmo com 18 dias de atraso menstrual e teste de gravidez negativo?,"É possível estar grávida com a menstruação atrasada há um mês, mesmo com teste de gravidez negativo?",É possível estar grávida mesmo com 13 dias de atraso menstrual e teste de gravidez negativo?,É possível estar grávida mesmo com a menstruação atrasada há 1 mês e 14 dias e com teste de gravidez negativo?,É possível estar grávida mesmo com o teste de gravidez negativo e a menstruação atrasada?,Houve atraso menstrual antes do sangramento?,"É normal ter seios doloridos, escurecidos e com veias dilatadas depois do ciclo menstrual, mesmo após cinco testes de gravidez negativos?",Esse teste pode ser feito perto da menstruação ou faltando 10 dias para ela descer?,Com quantos dias de gravidez ou de atraso menstrual esse teste foi feito?,"Com 10 dias de atraso menstrual, cansaço, sono e urina frequente, isso pode ser gravidez ou menopausa, mesmo tendo miomas?",,,,,,
44,102,"['placenta', 'remoção', 'mão', 'remover', 'manual', 'retirada', 'braço', 'anestesia', 'poderia', 'vagina']",Remoção manual da placenta,Retirada manual da placenta,Remoção da placenta por mão,A remoção da placenta é feita com a mulher ainda viva?,A placenta deve ser retirada logo após o nascimento do bebê?,A remoção da placenta é feita para evitar que a mulher morra?,O cirurgião realmente coloca a mão dentro do útero para remover a placenta?,Para que serve a remoção da placenta?,O que é a substância que ele passa no rosto quando você coloca isso na mão dele?,Uma mulher com esse quadro poderia morrer em casa?,Por que as crianças não gostam de ficar com o braço coberto e o descobrem mesmo depois de serem cobertas várias vezes?,Ela poderia ter chamado uma ambulância para levá-la a um hospital?,Estão ignorando o fato de que a própria mulher pode morrer?,,,,,,
45,87,"['sus', 'pelo', 'natal', 'pré', 'realizado', 'analgesia', 'escolha', 'lei', 'gestante', 'escolher']",Direito de escolha no parto pelo SUS,Escolha do tipo de parto no SUS,Direitos da gestante no SUS parto,"No SUS, a gestante tem essa opção de escolha em relação ao parto?","É possível escolher o tipo de parto, como a cesárea, pelo SUS?",O que é preciso fazer para conseguir uma cesariana por escolha pelo SUS?,"No SUS, a gestante pode escolher a posição em que vai parir?","É verdade que, mesmo com a lei da cesariana, é obrigatório ter parto normal pelo SUS?",Uma criança diagnosticada com doença falciforme tem direito à vacina pelo SUS?,"Em uma gestante de 34 anos, com 35 semanas de gestação, dor abdominal intensa, sangramento escuro, hipertensão no pré-natal e tônus uterino aumentado, qual é a principal hipótese diagnóstica?",Existe algum médico em Bauru/SP que atenda pelo Bradesco Saúde e faça pré-natal?,Existe risco de a gestante ficar deficiente se se mexer durante a raqui anestesia?,"Se meu endereço foi atualizado e não aparece mais como Nova Iguaçu, ainda vou encontrar essa barreira para marcar as consultas e exames do pré-natal no SUS?",,,,,,
46,125,"['filho', 'outro', 'vocês', 'vão', 'ter', 'quer', 'filhos', 'você', 'segundo', 'vai']",Planejamento de ter mais um filho,Intenção de ter outro filho,Tentativa de ter novo bebê,Você vai ter mais um filho?,Você vai ter outro filho?,Você pode ter outro filho?,A pessoa planeja ter mais um filho?,Você vai ter outro bebê?,"Se a mãe é A+ e o pai é B+, com filhos B+, isso pode causar icterícia no feto?",O iodo vencido pode ser administrado ao meu filho?,Esses pontinhos abertos após a cesárea vão fechar sozinhos?,Uma mulher que nunca teve filho pode ter mastite?,É possível cuidar de uma criança autista de 4 anos e de um bebê ao mesmo tempo ao ter outro filho?,,,,,,
47,96,"['oxigênio', 'respirar', 'procedimento', 'luvas', 'rápido', 'sonda', 'precisar', 'esse', 'uti', 'tão']",Oxigênio e suporte respiratório neonatal,Uso de oxigênio em UTI neonatal,Respiração assistida em UTI neonatal,O bebê consegue respirar naturalmente?,O bebê já deixou de usar oxigênio?,Por que o bebê ainda está usando oxigênio?,Por que não tiram um pouco para o bebê respirar?,Por que o bebê ainda está precisando de oxigênio?,"A respiração da florzinha foi feita até a fase expulsiva e, no expulsivo, foi feita a respiração em J?","Toda mãe é assim, de achar que, se tivesse um filho, seria como uma gravidez na adolescência?",O que é sepse neonatal?,Como é feito o tratamento da sepse neonatal?,O que você fez durante a gravidez para ser assim e dilatar tão rápido sem sentir nada?,,,,,,
48,89,"['falsa', 'barriga', 'mostrada', 'parece', 'mentira', 'vídeo', 'dela', 'verdade', 'verdadeira', 'essa']",Barriga falsa ou verdadeira,Barriga mostrada verdadeira,Barriga de mentira ou real,A barriga mostrada é falsa ou de verdade?,A barriga mostrada é falsa?,A barriga mostrada é falsa ou é de verdade?,A barriga mostrada é de verdade ou é falsa?,A barriga é falsa?,"Por que a fertilização in vitro com óvulos doados é considerada loucura, se isso parece algo tão natural e normal?",A violência obstétrica de empurrar a barriga pode quebrar a clavícula do bebê?,O bebê tem as mesmas capacidades sensoriais de quando estava na barriga?,Este vídeo mostra como é um parto cesárea?,Você pode gravar um vídeo falando sobre amamentação?,,,,,,
49,86,"['vitamina', 'b12', 'gotas', 'ui', 'd3', 'k2', 'crianças', 'dar', 'vitaminas', 'dose']",Suplementação de vitaminas em crianças,Doses de vitaminas para crianças,Uso de vitaminas e suplementação infantil,Qual é a quantidade de vitamina D indicada para uma menina de 3 anos?,Qual é a dose de vitamina D para meu filho de 10 anos?,O que acontece se eu der mais de uma gota de vitamina D ao meu filho apenas uma vez; isso faz mal?,Posso dar 2.000 UI de vitamina D três vezes por semana para a criança?,Dar 2 gotas de vitamina D no lugar de 1 faz mal para a criança?,Quantas crianças já foram assassinadas pelos próprios genitores porque não eram desejadas?,O Noa toma a vitamina Apevitim?,O ar-condicionado faz mal para uma criança de 4 anos que está gripada e com tosse com secreção?,"Posso tomar vitamina B12 com 35 semanas de gestação, tendo B12 de 175 e sintomas como fraqueza, formigamentos e cansaço extremo?",O que posso dar para a Maia dormir?,,,,,,
50,84,"['peso', 'kg', 'mensagem', 'pesar', 'levar', 'quilos', 'nasceu', 'pesagem', 'medir', 'vacinar']",Pesagem e medida do bebê,Peso e tamanho do recém-nascido,Acompanhamento do peso infantil,Quantos quilos o bebê pesava?,Qual foi o peso da bebê ao nascer?,Com quantos quilos o bebê nasceu?,Com quantos quilos a bebê nasceu?,Com que tamanho e peso o bebê nasceu?,Por que recebi essa mensagem se já fui duas vezes neste semestre ao posto para fazer a pesagem?,O fato de meu marido ser Rh negativo pode explicar a diferença entre mim e minha filha?,"Por que a mensagem para levar as crianças para vacinar, pesar e medir apareceu novamente se eu já fiz a pesagem no posto e meu benefício está liberado?","Como o livro de marcação pode já ter acabado se a mensagem para levar as crianças para vacinar, pesar e medir chegou este mês?",Quanto pesa um potro nessa fase da gestação?,,,,,,
51,100,"['tudo', 'certo', 'parto', 'deu', 'bem', 'ocorreu', 'acompanhante', 'foi', 'ela', 'conseguiu']",Como foi o parto normal,Parto normal ocorreu bem,Evolução do parto normal,O parto foi normal?,O médico chegou a concluir o parto?,O parto foi feito para dar certo?,Foi um parto normal?,O parto ocorreu tudo certo?,Uma morte causada por broncoaspiração pode ser registrada como morte natural?,Qual é a evolução dele na UTI?,A fratura de clavícula do bebê durante o parto pode ter sido causada por erro médico?,Os bebês entendem tudo?,"O que você está testemunhando quer dizer que está tudo bem meninas engravidarem à vontade, como se isso não desse errado?",,,,,,
52,86,"['eclâmpsia', 'pressão', 'pré', 'arterial', 'alta', 'risco', 'parceiro', 'afetar', 'baixa', 'hellp']",Pré-eclâmpsia e pressão arterial na gravidez,Risco de pré-eclâmpsia e pressão alta,Sinais e manejo da pré-eclâmpsia,É possível evitar a pré-eclâmpsia que pode aparecer a partir de 20 semanas de gravidez?,Você sabe o que pode ter causado essa pressão alta durante a gravidez?,Quais dicas ou cuidados devo ter nesta nova gravidez após ter tido pré-eclâmpsia grave na gestação anterior?,É possível ter pré-eclâmpsia mesmo quando a pressão está sempre normal nas consultas de pré-natal?,O que fazer em caso de pré-eclâmpsia tardia na gestação?,"Pressão baixa por si só pode ser fator de risco para arritmia, ou não tem relação com isso?",O lúpus sistêmico já existia e só se manifestou no período pós-parto por causa do estresse?,A icterícia ao nascer pode afetar o resultado do teste do olhinho?,A pressão arterial estabilizou depois da síndrome de HELLP?,A pressão dela está normal?,,,,,,
53,87,"['plano', 'saúde', 'carência', 'convênio', 'reembolso', 'cobre', 'cobertura', 'parto', 'contratar', 'custos']",Cobertura do plano no parto,Carência e cobertura obstétrica no parto,Reembolso e cobertura do parto,Existe um plano de saúde apenas para o parto?,O parto pode ser feito pelo plano de saúde da empresa?,O que fazer quando o plano de saúde disponibiliza apenas um hospital para realizar o parto?,Como devo proceder para manter o plano de saúde até o parto?,Há indicação de algum plano de saúde sem carência para parto?,O convênio cobre esse procedimento?,"É importante fazer exames de tireoide, como TSH e T4 livre, e exames de trombofilia para verificar se há algum problema que precise ser corrigido nesta gestação?",Devo continuar levando meu bebê ao pediatra particular ou fazer o acompanhamento apenas no Posto de Saúde da Família do meu bairro?,Quando irão humanizar o trabalho de parto e a saúde feminina?,Ela atende pelo plano de saúde?,,,,,,
54,100,"['família', 'bolsa', 'recebe', 'vacinar', 'benefício', 'pesar', 'posto', 'medir', 'perde', 'quem']",Bolsa Família e auxílio-maternidade,Bolsa Família e salário-maternidade,Bolsa Família e licença-maternidade,Receber Bolsa Família pode atrapalhar o recebimento do salário-maternidade?,"Ao solicitar o auxílio-maternidade, a pessoa perde o Bolsa Família?",Quem recebe Bolsa Família pode receber auxílio-maternidade?,Quem recebe Bolsa Família pode pedir salário-maternidade?,Quem recebe Bolsa Família tem direito ao auxílio-maternidade?,A embolização das veias uterinas pode atrapalhar o sucesso da FIV?,Varizes também podem prejudicar os cabelos por causa da má circulação?,O fato de a herpes genital de repetição não melhorar com aciclovir pode atrapalhar a tentativa de engravidar por fertilização?,É possível comprar a pecinha interna que perde a pressão?,O uso de Vitacid por muitos anos pode atrapalhar a gravidez?,,,,,,
55,109,"['pai', 'homem', 'quem', 'onde', 'filho', 'criança', 'dos', 'será', 'bebês', 'do']",identificação do pai do bebê,quem é o pai do bebê,paternidade do bebê,Quem é o pai do bebê?,Quem foi o pai do bebê?,De quem é o pai do bebê?,Quem é o pai da criança?,Será que ele é o pai do bebê?,Como diferenciar restos ovulares de MAV em uma paciente sem história clínica de gestação?,É possível uma mãe A+ e um pai O+ terem uma criança AB+?,"Se a mãe e o filho são B positivo, quais podem ser o tipo sanguíneo e o fator Rh do pai?",Um bebê sabe que precisa parar para respirar enquanto toma leite?,Será que o Void vai ser pai novamente?,,,,,,
56,83,"['mala', 'levar', 'roupa', 'roupas', 'tamanho', 'maternidade', 'hospital', 'rn', 'itens', 'coisas']",Mala maternidade para o hospital,Itens da mala maternidade hospital,O que levar na mala da maternidade,O que é preciso levar na mala maternidade do bebê?,A mala da maternidade deve ser a da mãe ou a do bebê?,O lencinho foi incluído na mala da maternidade?,"Também é necessário levar coisas para a mãe na maternidade, além das do bebê?",Você colocou a manta na mala da maternidade?,"Na Holanda, é obrigatório ter a enfermeira que acompanha a mãe depois da saída do hospital?","Você colocou o espermatozoide dentro dela, pai da Mia?",Qual é o tamanho dessa mala e ela suporta 10 quilos?,Elas precisam dividir alguma coisa?,Você pode fazer uma lista de roupas de 0 a 3 meses com as quantidades que considera ideais?,,,,,,
57,69,"['emily', 'vick', 'emilly', 'grávida', 'está', 'verdade', 'sarah', 'realmente', 'brincadeira', 'verdadeira']",Emily e gravidez confirmada,Emily Vick e gravidez verdadeira,Emily grávida em questão real,A Emilly está grávida?,Emily está grávida de verdade?,A Emily está realmente grávida?,É verdade que Emily está grávida?,A Emeli está grávida?,"Como a criança vai ficar 16 horas sem comida quando for para a creche ou a escola, e o que pode ser feito?",O vérnix realmente tirava as rugas do bebê?,Brenda_advogada está grávida?,Funk está grávida?,Kaleb está grávido?,,,,,,
58,73,"['cálcio', 'magnésio', 'suplementação', 'tomar', 'deve', 'tomado', 'tipo', 'eclâmpsia', 'gestação', 'pré']",Suplementação de cálcio e magnésio na gestação,Uso de cálcio e magnésio na gravidez,Suplementos de cálcio e magnésio na gravidez,A gestante deve tomar cálcio durante a gestação?,"Na gravidez, é certo tomar cálcio ou suplementação de cálcio?",É necessário tomar cálcio durante a gestação?,"Na gravidez, o cálcio deve ser tomado ou não serve para nada?",É necessário tomar suplementação de cálcio durante a gravidez quando a médica do pré-natal a indica?,Uma criança com deficiência de G6PD pode tomar outro tipo de medicamento para vermes?,Qual é o melhor horário para avaliar a temperatura corporal?,Como uma gestante em Moçambique pode adquirir cálcio?,O Clomid deve ser tomado durante a menstruação ou após ela?,"Como posso tomar o comprimido de cálcio, se ele é muito grande e eu não consigo engolir?",,,,,,
59,90,"['teste', 'positivo', 'deu', 'resultado', 'falso', 'negativo', 'testes', 'digital', 'gravidez', 'exame']",Resultado de teste de gravidez,Interpretação do teste de gravidez,Confiabilidade do teste de gravidez,Será que o teste de gravidez deu positivo?,Como ficou o resultado do teste de gravidez?,Qual foi o resultado do teste de gravidez?,Qual teste de gravidez foi feito?,O resultado do teste de gravidez deu positivo?,O diagnóstico de deficiência de G6PD feito depois pode ter sido um falso positivo?,"Por que eu fiquei com o peito roxo e sem respirar quando minha mãe me deu leite no hospital, ainda bebê?",Como foi o resultado do teste do suor do seu filho?,Qual é a média de valores dos testes particulares para HPV?,"Como posso saber se ovulei tomando clomifeno, se ele pode causar falso positivo no teste de ovulação?",,,,,,
60,65,"['barriga', 'kg', 'dura', 'crescer', 'endurecer', 'normal', 'gestante', 'cresceu', 'engordar', 'mole']",Barriga não cresce na gestação,Barriga pequena na gravidez,Pouco crescimento da barriga gestante,A barriga não cresceu durante os primeiros meses da gravidez?,É normal a barriga de uma gestante não crescer?,É normal que a barriga de uma gestante não seja tão grande?,É normal a barriga de uma gestante ter esse tamanho com apenas 4 meses de gravidez?,É normal estar com cinco meses de gravidez e a barriga ainda ser bem pequena?,"O que pode ser quando um bebê de 3 meses fica com a barriga grande, dura e inchada e não evacua todos os dias?",Por que a barriga de uma gestante está muito branca se o restante da pele dela não é tão branco?,"O que pode ser quando o bebê fica se contorcendo, com a barriga dura e golfando?",Alguém já viu a barriga da gestante?,Por que algumas barrigas de gestantes apresentam uma linha marrom vertical?,,,,,,
61,62,"['laqueadura', 'tubária', 'feito', 'há', 'tendo', 'fazer', 'mesmo', 'anos', 'feita', 'fez']",Falha da laqueadura e gravidez,Possibilidade de gravidez após laqueadura,Risco de gestação após laqueadura tubária,É possível estar grávida mesmo tendo feito laqueadura?,É possível estar grávida mesmo tendo feito laqueadura há 4 anos?,Quem fez laqueadura há 11 anos ainda pode engravidar?,Uma mulher com laqueadura ou “ligada” ainda tem possibilidade de engravidar?,"Depois de 11 anos de laqueadura, ainda há possibilidade de engravidar?",É possível fazer uma cesárea para não ficar com marca na hora do parto?,"É necessário fazer o toque vaginal com 38 semanas para verificar se o bebê está querendo nascer, mesmo quando a gestante vai fazer cesárea com laqueadura?","Por que, após um parto normal, a laqueadura precisou ser feita com incisão como a de cesárea e não pôde ser realizada por videolaparoscopia, porque o útero estava muito dilatado?",Como seria a realização da laqueadura tubária no parto normal para uma mulher com problema cardíaco e marca-passo?,Como posso desfazer a laqueadura?,,,,,,
62,80,"['sangramento', 'marrom', 'borra', 'início', 'café', 'semanas', 'coágulos', 'gravidez', 'cólicas', 'coágulo']",Sangramento no início da gravidez,Sangramento inicial na gestação,Sangramento precoce na gravidez,O sangramento no início da gravidez pode indicar algum problema?,"Na gravidez de 6 semanas, é normal ter sangramento marrom com coágulo e estar tudo bem?",É normal sair um pouco de sangue durante a gravidez?,"É normal que, nesta gravidez, o sangramento dure 7 dias, sendo diferente da gravidez anterior, em que durou apenas 1 dia?",É normal que tenha ocorrido um pouco de sangramento no começo da gravidez e depois tenha parado?,Havia saco gestacional antes do sangramento?,É normal que esse coágulo ou pedaço de sangue saia um pouco maior que um ovo?,"O que pode ter acontecido para o embrião ter parado de evoluir e não apresentar batimentos, após um sangramento tipo borra de café e a perda do bebê?","O que pode ser um sangramento marrom, tipo borra de café, que durou vários dias, depois ficou forte, com muitas cólicas e com uma dor diferente das cólicas habituais?","O que pode ser um sangramento em borra de café que dura três dias, com leves cólicas no primeiro dia e sem outros sintomas?",,,,,,
63,91,"['dilatação', 'cm', 'colo', 'trabalho', 'centímetros', 'útero', 'parto', '10', 'dilatar', 'chega']",dilatação do colo no trabalho de parto,evolução da dilatação no parto,quanto dilata o colo uterino,10 centímetros de dilatação no parto é pouco?,"Por que, ao chegar à maternidade com 10 cm de dilatação, o parto não foi normal?",A dilatação no parto vai até 10 centímetros?,Como é a dilatação no parto?,Geralmente as gestantes chegam ao trabalho de parto com apenas 3 cm de dilatação?,O sinal de Bandl associado à bradicardia fetal em uma mulher em trabalho de parto está associado a qual quadro?,"Por que a minha dilatação não evoluiu além de 3 cm, mesmo eu fazendo tudo o que vejo na internet?",Quantos centímetros de dilatação a mãe do MegaMente teve no parto?,Como é possível dilatar até 8 cm sem sentir dor?,Em quantos dias a dilatação pode acontecer?,,,,,,
64,96,"['filhos', 'condições', 'mundo', 'filho', 'criar', 'ter', 'têm', 'cuidar', 'mulheres', 'sofrer']",Ter filhos apesar de falta de condições,Ter filhos sem condições de cuidar,Gravidez e maternidade com dificuldades,Por que alguém tem filho se não tem condições de criá-lo?,Por que alguém que não tem condições de ter filhos os coloca no mundo?,Por que algumas mulheres continuam tendo mais filhos mesmo dizendo que dói?,Por que uma mulher sem condições de cuidar de si mesma está tendo filhos?,Você ainda pode ter filhos?,Os outros filhos mais velhos de uma criança diagnosticada com deficiência de G6PD também podem ter a deficiência?,Pais mais velhos têm maior probabilidade de ter filhos com autismo?,"A dor de um peito empedrado também prepara para qualquer coisa na vida e no mundo, independentemente de cesárea ou parto normal?",É possível ter um filho mesmo tendo episódios de crise de pânico e medo de sofrer ataques de pânico durante a jornada da maternidade?,Quantas crianças estão morando na rua sem ter o que comer?,,,,,,
65,63,"['barriga', 'falsa', 'mostrada', 'mentira', 'tamanho', 'grande', 'real', 'essa', 'verdadeira', 'desse']",Barriga falsa na gravidez,Gravidez verdadeira ou barriga falsa,Barriga de grávida verdadeira,É uma barriga falsa ou uma gravidez de verdade?,A barriga mostrada é de mentira ou a gravidez é verdadeira?,A barriga de grávida mostrada é de mentira?,A barriga é falsa ou a gravidez é real?,Essa barriga de gravidez é de mentira?,"Quando a pessoa fica de lado e a barriga parece puxada, isso indica que ela não está grávida, mas que está usando uma prótese de barriga de grávida?",Por que você estava com a barriga grande durante o parto do Davi?,A gestação mostrada é de uma mulher grávida ou de um elefante?,Por que algumas pessoas se arriscam a engravidar?,Por que não tem como filmar dentro da barriga?,,,,,,
66,89,"['prematuro', 'nasceu', 'quantas', 'semanas', 'nasce', 'ocorreu', 'complicações', 'gestação', 'sete', 'meses']",Idade gestacional e nascimento prematuro,Semanas de gestação do parto prematuro,Nascimento do bebê e idade gestacional,O bebê nasceu com sete meses de gestação?,É possível ter nascido com sete meses de gestação?,Com quantas semanas de gravidez foi realizado o parto?,Com quantas semanas de gestação o bebê nasceu?,Com quantos meses de gestação a bebê nasceu?,O Levi já nasceu?,A Zöe já nasceu?,A Elisa já nasceu?,Qual é o efeito da campanha Novembro Roxo na prevenção do parto prematuro se faltam recursos para a saúde?,A Sofia já nasceu?,,,,,,
67,75,"['aborto', 'retido', 'espontâneo', 'curetagem', 'boldo', 'expelir', 'perda', 'abortamento', 'tomou', 'abortar']",Aborto retido e abortamento espontâneo,Abortamento retido e perdas espontâneas,Aborto retido e perda gestacional espontânea,Você fez exames para saber a causa do aborto?,É possível abortar antes de 7 semanas de gestação?,Você fez curetagem após o aborto?,"Com 4 semanas de gestação, será necessário fazer um procedimento ou apenas tomar medicamentos para o aborto?",Até quanto tempo é possível abortar?,Os cuidados com medicamentos são suficientes para um bebê diagnosticado com G6PD?,"Por que Deus permitiu a perda de um bebê na gestação, se a pessoa acredita em Deus?",Existe alguma relação entre quase ter sofrido um aborto na gravidez e a criança nascer com autismo?,O TSH acima de 14 no primeiro aborto espontâneo e quase 5 no segundo pode ter relação com os abortos espontâneos da filha?,"No caso de Streptococcus positivo na gravidez, você tomou antibiótico antes do parto ou somente durante o parto?",,,,,,
