topic_id,suggestion_1,suggestion_2,suggestion_3,model,response_id,examples_sha256,error
98,Batimentos cardíacos fetais,Escuta dos batimentos fetais,Coração do bebê no doppler,gpt-5.4-nano,resp_06c54c5704733cca006aa5e8f3357c87d2bb493e4835d5ee39,c24f4c3c427e92a2b4a0a36c6cebbb19ff9042a36a20160b3638ed0cd0227443,
99,Riscos de remédios na gestação,Impacto de medicamentos na gravidez,Efeitos de remédios no feto,gpt-5.4-nano,resp_0330deafbc26fa36006aa5e8f41cf087d28edff53cdeee81f1,c2ffb142e8872d6c21fce6ce43587fc19ea26f8abdb829662c8075c7af3ff3f5,
100,Relações sexuais e risco gestacional,Relações sexuais e gravidez,Relação sexual e possibilidade de gravidez,gpt-5.4-nano,resp_088393709e9d0f39006aa5e8f53a3087d2873d7b467ea6b905,0a106c8a4a6d75c71247e98cdb2254b4d93e58fab759a81f4dcf8f0117d06437,
101,Data provável do parto,Data prevista para o parto,Cálculo da data provável do parto,gpt-5.4-nano,resp_0a14c75fad200be2006aa5e8f63a1087d2aa40b23e02a9a5cc,fd0e433d3097626b79733232edc68614c6be32d471393196956a9e096499de87,
102,Mãe grávida e bebê no grupo,Gravidez da mãe e revelação,Mãe esperando um novo bebê,gpt-5.4-nano,resp_01675c72e5d1f693006aa5e8f73afc87d299fd2372ef569d94,00547dea4fd6c713050acc19013b8ea07440fd97fa62600de5a7ab69942cf6af,
103,Suplementação de ácido fólico e ferro na gestação,Uso de ácido fólico na gravidez,Dosagem de ácido fólico e sulfato ferroso na gestação,gpt-5.4-nano,resp_0782e8313a6c1e41006aa5e8f834e887d2bc9cc706bb9f3ee3,9ce855b8d09f881c845ea259ffb4e0456f4d0a2d758d980094adafaf7becae68,
104,Uso da bombinha elétrica para lactação,Funcionamento da bombinha elétrica de leite,Dúvidas sobre bombinha elétrica na amamentação,gpt-5.4-nano,resp_0c60eb3a7ebd0737006aa5e8f979dc87d2b30b18ff80caa048,96723e4769f00222485b6a5701b9b9988e0e836d1d53518f2369525200fd6a9b,
105,Remédios e estratégias para engravidar,Opções e tratamentos para engravidar,Dicas para aumentar chances de gravidez,gpt-5.4-nano,resp_0382d0499a917a43006aa5e8fa727c87d28d70e62d88bd9d52,f7eb20d3070d97b9d4375d9805e96308dae91daf90a3ff2ca0cd50d2e02299e4,
106,Introdução alimentar do bebê,Início da alimentação do bebê,Alimentação complementar na gestação e lactação,gpt-5.4-nano,resp_0186a583edd3c07c006aa5e8fc520087d2921c86cc223b9482,0e8683954354d0bdb7a9d9ae341bb1e33398d862c2720f8e0c98ac1cbda7f361,
107,Tentativas para engravidar e método contraceptivo,Conseguir engravidar após tentativas,Engravidar após uso de contraceptivo,gpt-5.4-nano,resp_0daa9d5ca5ff019a006aa5e8fd500487d29ec78de0d0e06314,c12256965945883f18aca419d9b2a0d56385140fdaf2824c97babe3594326413,
108,Período fértil e risco de gravidez,Janela fértil e chance de engravidar,Ovulação e possibilidade de gravidez,gpt-5.4-nano,resp_0c1a1720abc32b4b006aa5e8fe825c87d2b68c700707824526,864267295dee1e998cd6dd146b088a6bbf618b556f8a183593f81e23f919700f,
109,Exercícios para preparação do parto,Exercícios para se preparar para o parto,Exercícios na preparação para o parto,gpt-5.4-nano,resp_067105836ca4c61d006aa5e8ffa92887d2bd39b28580db7fdd,f3b2a52ed635e1ceec100e307cedca21720e25fd133ea9fbb2bcea45e3e54ab6,
110,Evolução da gestação e cuidados,Como está a gestação e cuidados,Evolução da gravidez e se cuidar,gpt-5.4-nano,resp_04508d9309595b19006aa5e900a4b087d2bb086c3d3d05a3aa,dd91e6e82a06b78ab175c8ec9b2dfe20bc704e59c876970e95e2990adab99db6,
111,Diabetes gestacional e controle,Controle da diabetes gestacional,Glicemia na diabetes gestacional,gpt-5.4-nano,resp_0d732a909c180178006aa5e901a66487d2af64ca23820feb45,ee968f2b4213cbac6723bc4ea039b233f48c5d13022c735b37d5f6c17b68de6d,
112,Identificação do pai na gravidez,Quem é o pai do bebê,Pai biológico da gravidez,gpt-5.4-nano,resp_0acc9d1471ba57f5006aa5e902a22c87d284464cc9418184bc,2616613fcf5c44b2e7a04f193961dd784726a62729dd1ed66d255163b3bd7cd7,
113,Chance de gravidez por relação sexual,Risco de engravidar em relação sem proteção,Engravidar por contato com sêmen e penetração,gpt-5.4-nano,resp_0a762ea7e56f5f35006aa5e903a3f887d29636dd1a86b10356,6ab3a88866dd2f2b030375dcd4533395572afffa947c91bcbafb22f51a6c9f43,
114,Fisioterapia pélvica e incontinência,Exercícios do assoalho pélvico,Saúde do assoalho pélvico na gestação,gpt-5.4-nano,resp_0d9f3a09c9a0f28b006aa5e9051e7887d2ae0db8fa6277e330,9fbe9d31f0f4cf052bef2e83b88c209b473e95969baa7e4f2d5916c279c4b230,
115,Experiência e planejamento do parto,Experiências e escolhas sobre o parto,Vivências e intenção de parto,gpt-5.4-nano,resp_0fef917f4d0ec8c7006aa5e906453887d28d55c1d4de7eec2a,5725b95d56cc2383b5938c4e1a2ddf9f8430c622a609055a349b777206882dfe,
116,Sintomas e atraso menstrual gravidez,Sinais de gravidez e atraso menstrual,Indicação de gravidez por sintomas,gpt-5.4-nano,resp_0abc83b0c15be1f3006aa5e9075ca087d2863511c849903b3f,b6b2fec0d85f87937c3deacf128c298be4b36e0624562ea7e74319a106ce4472,
117,Gi está grávida e pai do bebê,Quem é o pai do bebê da Gi,A Gi está grávida de quem,gpt-5.4-nano,resp_04c6b1ecee144b8a006aa5e908a71487d2bd6fe760d5a9384c,d39e49eda935025f92a5b97710e62864249452bd645c2ec8009836e9b0ac7ace,
118,Armazenamento e oferta de leite materno,Conservação e oferecimento do leite materno,Armazenar e oferecer leite materno,gpt-5.4-nano,resp_0b6de1c88e9006d9006aa5e909a1c887d286b96e178ba5134b,76ca8f7b57f93cce91212f0657ec043fadc91f789c4804397cbd091e7285fe76,
119,Uso de Mounjaro na amamentação,Tirzepatida durante a amamentação,Mounjaro enquanto amamenta,gpt-5.4-nano,resp_0ecf89c588f94e4f006aa5e90acea487d29c0b699d709eaad0,da2a0d9ab8a8281f0560444e935e1b756c2e8f73d18eea473a1edd8699b11f9e,
120,Resultado de teste de gravidez,Interpretação do teste de gravidez,Significado do resultado do teste,gpt-5.4-nano,resp_069fcb11162bc100006aa5e90c91fc87d2a8b2d0f5ee69a687,70da364763362a099a6c76c0f14cde71722f901c6ae20ae48585674ddeb29344,
121,Posição para dormir na gestação,Lado e posição para dormir na gravidez,Recomendações de dormir durante a gravidez,gpt-5.4-nano,resp_09504f9095c4f0c3006aa5e90deaf087d2951aad7782b945a2,7644b2b71a6f183ec7b0eba77760267196ae110ed4caab322e889e9a7ccaa4da,
122,Chá revelação do sexo do bebê,Fazer chá revelação para descobrir o sexo,Quando fazer chá revelação do bebê,gpt-5.4-nano,resp_080709b562becc04006aa5e90f3c7c87d2aefb6e1d759ae46d,1973662dcb089320fb882a0bc6566cd8e27e3de399de5e994684332c351e69b7,
123,Gravidez perdida e descoberta,Perda gestacional e confirmação,Descoberta da gravidez e perda,gpt-5.4-nano,resp_04e97a1a0afe6ab7006aa5e9103afc87d28245f04f9ed035ef,cf975e0cc0771dc82e032111ff6bc85a3572729f6bb250428bd6b8bb850c0492,
124,Uso de progesterona após histerectomia,Reposição de progesterona após histerectomia,Progesterona na menopausa cirúrgica após histerectomia,gpt-5.4-nano,resp_02388222aa2cccdb006aa5e911468c87d2924d5cc19eee71f5,f3953c8789658d42d40c0799332b1f8eb6f488b1b1eebf31888f411bb8244306,
125,Testes de gravidez caseiros com urina,Como fazer teste de gravidez com urina,Teste de gravidez com urina e cotonete,gpt-5.4-nano,resp_021602c503116b8b006aa5e91297f887d29778f128be11f42a,fbb9318f0bb922027dd3637e7608b8daba3b9c16154fd7594097b3a20fda22c0,
126,Dor do trabalho de parto,Dor nas contrações e dilatação,Intensidade da dor no parto,gpt-5.4-nano,resp_08fee5956fbc7764006aa5e913aab887d28277b4d39130ba9a,452169f947a09bec4bd30ce3340ebd9b7ccd856198856df894e080e13a360f80,
127,Sonhos com gravidez e parto,Interpretação de sonhos com gestação,Significado de sonhos de gravidez,gpt-5.4-nano,resp_08d378accfc7e728006aa5e914ba0487d2bc83b8bffc0d8b41,b01f1d7489a4b743d281175cb944ffdb9ff58b6560b25ad53823c994030381fc,
128,Desinchar barriga no pós-parto,Barriga inchada no pós-parto,Recuperação abdominal pós-parto,gpt-5.4-nano,resp_0e9686065f1e214b006aa5e915c67c87d2be4b649ca8d0d816,f8c5d4e90c8d617322d407a5376d2017b10b9acb1e27aa361e4a44ab6683c3d1,
129,Aborto em gravidez decorrente de estupro,Permissão do aborto após estupro,Interrupção da gestação por estupro,gpt-5.4-nano,resp_066a4c8f9e8dd45c006aa5e916d12487d2ba48f3f48039d122,cbe2aa2b3c48e6ff517eb222385469620ba8b3cd1fe837f37e67e6202b6aad9a,
130,Reposição de progesterona sem útero,Uso de progesterona sem útero,Progesterona na ausência de útero,gpt-5.4-nano,resp_0f5537a9f1614cb9006aa5e91808ac87d28709e2cffac0def5,07396895138f0cb4a33eb6f3d6a30bf0472bfb53642e932da82683be09a983fc,
131,Como engravidar e ter filhos,Como ficar grávida e ter bebê,Como ter uma gravidez e filhos,gpt-5.4-nano,resp_0864ae9f2b0c8d46006aa5e9195cc087d293e2acd5217b73b4,47636243b4f1f64ec7bf448e567674465d91d8bde692e1c9ce5e1643f4ce24b9,
132,Definição do sexo do bebê,Se o bebê é menino ou menina,Certeza sobre o sexo do bebê,gpt-5.4-nano,resp_0059d11b827ce750006aa5e91ab3b087d2990ede237552e5e5,542cd35783466e1307347a243b7be0c8afe6d5c00620429375375e6d0710d011,
133,Amamentação e saúde materna,Cuidados na amamentação materna,Amamentação da mãe e do bebê,gpt-5.4-nano,resp_07ac757096f3a64a006aa5e91bf16c87d28f651dc3fba9a838,b37fbf7523a66147ca1374dba5ac65abb2b2b675ff955962394ab714ff5bf921,
134,Alimentação e dieta na gestação,Dieta e alimentação da gestante,Alimentos e quantidade na gravidez,gpt-5.4-nano,resp_0fad5f4cdc14b7ae006aa5e91ced8087d2982d35a6643b6130,bde2c3c3495cf396f921e985285d2986c9d9f2490a2f4a7fd11919c31999f934,
135,Alterações nas fezes e evacuação,Mudanças no cocô e evacuar,Fezes diferentes e dificuldade evacuatória,gpt-5.4-nano,resp_0d1a2a4913d37552006aa5e91e089087d29330230f6132decd,15abaa9c05d9d18b431052a5a28857dfc99d650216c343468c9aee29f177cfc3,
136,Gravidez na adolescência e infância,Possibilidade de gravidez em meninas jovens,Adolescente ou criança grávida,gpt-5.4-nano,resp_07adf5374a4de242006aa5e91f03b487d2bc935703c1af03a3,13c091cd9cdf5c37ded66cb4962812ca070332d06eb7fd61b6b240b192fb9811,
137,Resultado negativo em testes de gravidez,Negatividade em testes de gravidez,Testes de gravidez com resultado negativo,gpt-5.4-nano,resp_0c51883a98cb4a62006aa5e91ff5c487d283635c50ca5d28ca,1a65b5ec781efcbc2b51b0ae1ba92d019d09b80c6974013507caa07985867d17,
138,Sangramento na gravidez e após relação,Sangramento na gestação e após relação sexual,Sangramento vaginal na gravidez e após relação,gpt-5.4-nano,resp_07e6078f72f333f3006aa5e920f79487d28dabebc64017d449,f2523bf6e21b7a330f98b3935d2b5cd2313a52094f9796e10aa2ffb27f305a24,
139,Dor e sensibilidade nos seios na gravidez,Sensibilidade e dor nas mamas na gestação,Dor nos seios e mamilos durante a gestação,gpt-5.4-nano,resp_0331fb00e864560c006aa5e921fcec87d2b0447b92868a127e,8ad85182abbb9e917c64b44cfb3b7455263197de63849e98f354f9b25b97d028,
140,Domperidona para aumentar leite materno,Uso de domperidona para produção de leite,Efeitos e riscos da domperidona no leite,gpt-5.4-nano,resp_0afb76466de8a9d9006aa5e923419487d284e89f471849a176,b5601788e5bafcf8585b6454e55385ebf51843d731ee2282cc912594a9cc0da7,
141,Gestação e saúde materna com novos bebês,Novo bebê e condição da mãe,Nascimento do bebê e saúde da gestante,gpt-5.4-nano,resp_029863a7ff5bc423006aa5e924ad0c87d283122d1c0fe4b505,f40694c4a38b440682b6e253a31e0202f9b1889a879c63c1b2e7f05d3522da08,
142,Tempo de gestação em meses e semanas,Semanas e meses da gestação,Idade gestacional em semanas e meses,gpt-5.4-nano,resp_0866b89e3a470a99006aa5e925ab8887d2a1eb164647d2c8fc,49a2b73d7c836abc8c12d43fe5043ff59c83c4b22a0b7e7268e8d6c8939b32bd,
143,Rompimento da bolsa amniótica,Bolsa amniótica rompida,Saída de líquido amniótico,gpt-5.4-nano,resp_023f0c00f78bd5a8006aa5e927020c87d29dcf76ff911e8d34,b60c6dbe7cff7e5eabd81b164269e3c6cf396de43af81e88f5914cacdc51bc2e,
144,Descolamento e placenta baixa,Placenta baixa e descolamento,Riscos da placenta baixa,gpt-5.4-nano,resp_06e13a2f06ca847b006aa5e927fc9887d29575769a9a3cadc2,0210f6d73fb0cfebb6259b916d6174e930ea5a2879c3272d6ea630ea0049afac,
145,Dor na cesariana e anestesia,Dor após cesárea e anestesia,Dor durante cesárea e anestesia,gpt-5.4-nano,resp_07ca189fed3818e6006aa5e928f13887d296f12e169a6fdfbc,c58b92e0eaf4d0bee89d72b7d33ede6a0a7295f633f6416ac16f40529801b589,
146,episiotomia e laceração no parto humanizado,corte perineal episiotomia e laceração,evitar episiotomia e laceração no parto,gpt-5.4-nano,resp_0ce184e2db778545006aa5e92a065887d2a5fb73ad67d2e5e7,246c266da112d203d771ded6430b0c4aef1494e63e71c55b3919afc9ba4c8a96,
147,Uso de AAS para prevenir pré-eclâmpsia,Tomar aspirina para prevenção de pré-eclâmpsia,AAS na gestação para reduzir risco de pré-eclâmpsia,gpt-5.4-nano,resp_09280d7b8f99f84d006aa5e92b7bc887d2887f3a7c890c80a3,06f1f3819128d58c3cf203096fb3bb1b800cbc9c46afa6aedc6c0067f039cd78,
148,Percentis fetais e crescimento na gestação,Crescimento e percentil do bebê,Tamanho fetal por percentil na gestação,gpt-5.4-nano,resp_098283370afaaf41006aa5e92d8d4087d29a2106cf7de4f341,4063217ac1c39afe597e3945643860d6bf7512789de96a154268282c692c8e12,
149,Puerpério após o parto difícil,Recuperação no puerpério pós-parto,Bem-estar materno no pós-parto,gpt-5.4-nano,resp_03aadc67822b1a91006aa5e92ebf4087d288f8538269be4ec4,3280d282c0c7c31017e4cbd1c9cc70ae00e97249b1db2fae8197823f147c8fb2,
150,Sintomas de gravidez e ausência,Sintomas na gravidez e falta,Relato de sintomas de gestação,gpt-5.4-nano,resp_0f66efbb4d15ff4e006aa5e9300ba487d292ef329c11d07ff9,a4c56c51181978021277af0b5005be5a17858dd04465cea27609f8ee0047ec99,
151,Quando ir à maternidade e induzir parto,Ir à maternidade e indução do parto,Início do trabalho de parto e avaliação na maternidade,gpt-5.4-nano,resp_011d23d051213c34006aa5e930f81c87d2a60a6d8bb3c8adee,7b8f8388505458dd420e83566b7e64a6edf71611d2270cc851576c1d9f737b51,
152,Recuperação no pós-cesariana,Recuperação após cesárea,Cicatrização e resguardo pós-cesariana,gpt-5.4-nano,resp_0c1d3cb3cf66d52c006aa5e932046c87d2a55a35ea648446f4,38b3a6e375c14f7dff51786b10a08dd5c8fb5ea8e270f3d0e06349beda14ca48,
153,Leite materno no cabelo e queda pós-parto,Leite materno no cabelo e crescimento capilar,Queda de cabelo pós-parto e leite materno no cabelo,gpt-5.4-nano,resp_0960eea344bc9931006aa5e93317b887d2b3fbd3ae23b93356,584682376562cc48399b2a5f68fcb862c2f08b654de88b0395a8e112e15bb358,
154,Teste de gravidez após atraso menstrual,Quando fazer teste de gravidez,Repetir teste de gravidez com atraso,gpt-5.4-nano,resp_0b86cb0d317166ae006aa5e935191c87d2ab193e18e10d970a,69c055aea38d57f658fbb29d8dee3fac4a5411ccadef233168ca6a81b5e8b709,
155,Significado do reflexo vermelho no bebê,Interpretação do reflexo vermelho no olho,Resultado do exame do reflexo vermelho,gpt-5.4-nano,resp_00cc438b34457d8a006aa5e9360d0887d2aa72831a7ba02e7a,32e817fb6bbbbee3ff664c92d03747f82de7e6d4fcae908a23e8a54927da53c3,
156,Suplementação de ferro na gestação,Ferro na gestação e deficiência,Tratamento de deficiência de ferro gestante,gpt-5.4-nano,resp_0af007dbf2fe3276006aa5e937530087d299d079f892ab6f58,759df20aeb8be172eb4b48c4399063efa7469c2e742fe1b821db312617afc07f,
157,Gravidez com trompas obstruídas,Possibilidade de engravidar trompas obstruídas,Engravidar com trompas obstruídas,gpt-5.4-nano,resp_04703804c38ae39b006aa5e938ab3c87d2bf106b93704bac91,266233c10972fefdafd9705d3660ffd2d9d98469aa1f1cfa1c02adb6fca57be8,
