Topic,Count,Name,Representation,Representative_Docs
69,74,69_davi_irmão_irmãozinho_davizinho,"['davi', 'irmão', 'irmãozinho', 'davizinho', 'ganhar', 'irmãzinha', 'irmã', 'vai', 'clarinha', 'vir']","['Clarinha vai ter mais um irmão ou irmã?', 'A Clarinha vai ganhar uma irmãzinha ou um irmãozinho?', 'A Clarinha vai ganhar outro irmão ou irmã?']"
70,61,70_suplemento_vitamina_suplementos_vitaminas,"['suplemento', 'vitamina', 'suplementos', 'vitaminas', 'tomar', 'ômega', 'suplementação', 'diminuir', '000', 'pré']","['Posso tomar vitamina D durante a gravidez, mesmo usando suplementação de cálcio 500 mg, AAS 150 mg e ômega 3?', 'Qual suplemento ou polivitamínico é indicado para uma gestante de 37 anos que acabou de descobrir a gravidez, está tomando apenas ácido fólico do SUS e ainda vai iniciar o pré-natal?', 'Gestantes com alto risco de pré-eclâmpsia podem usar suplemento de L-arginina para diminuir o risco?']"
71,71,71_pós_após_hemorragia_parto,"['pós', 'após', 'hemorragia', 'parto', 'hemorroidas', 'pontos', 'sexual', 'sangramento', 'parou', 'normal']","['A hemorragia logo após o parto pode ter sido causada pela anemia ou há outra explicação para isso?', 'É normal que o sangramento no puerpério continue após um mês, ainda esteja vermelho vivo, diminua, pare por dois dias e depois volte, especialmente após uma hemorragia pós-parto?', 'É normal sentir muita dor no pé da barriga dois meses após o parto, antes de voltar a ter relação sexual depois do resguardo?']"
72,84,72_cesárea_próxima_cesáreas_tentar,"['cesárea', 'próxima', 'cesáreas', 'tentar', 'normal', 'parto', 'cesariana', 'terceira', 'ter', 'uma']","['Após uma cesárea de corte corporal por parto prematuro, posso tentar parto normal em uma próxima gravidez?', 'Na terceira gravidez é possível ter parto normal mesmo após duas cesáreas?', 'Em uma próxima gestação, após uma cesárea com corte corporal por prematuridade, é possível tentar um parto normal?']"
73,65,73_histerectomia_retirada_cirurgia_útero,"['histerectomia', 'retirada', 'cirurgia', 'útero', 'retirar', 'total', 'aberta', 'parcial', 'abdominal', 'geral']","['É possível resolver, sem cirurgia, os sintomas e a possível aderência após cesárea, retirada de trompa e histerectomia total?', 'É normal ainda sentir dor ao se levantar, 13 dias após uma histerectomia total abdominal?', 'A cirurgia de retirada do útero é feita com anestesia geral?']"
74,76,74_estrela_filhotes_dos_pai,"['estrela', 'filhotes', 'dos', 'pai', 'ficou', 'cinco', 'meninas', 'cachorro', 'meninos', 'grávida']","['A Estrela está grávida de cinco filhotes?', 'Por que a Estrela está grávida de cinco filhotes?', 'Quem é o pai dos cinco filhotes da Estrela?']"
75,99,75_nasceu_matar_bem_criança,"['nasceu', 'matar', 'bem', 'criança', 'aconteceu', 'queria', 'situação', 'nessa', 'bebê', 'ver']","['A bebê está bem?', 'O bebê está bem?', 'O bebê está bem de saúde?']"
76,69,76_fralda_trocar_xixi_fraldas,"['fralda', 'trocar', 'xixi', 'fraldas', 'cocô', 'descartável', 'usa', 'pacote', 'algodão', 'roupinhas']","['Não é preciso trocar a fralda ou colocar roupa na filha?', 'É realmente necessário deixar de trocar a fralda do bebê por 12 horas?', 'É correto não deixar a bebê mais de 3 horas com a mesma fralda de xixi e trocar imediatamente quando ela faz cocô?']"
77,91,77_vídeo_mencionada_pessoa_mencionado,"['vídeo', 'mencionada', 'pessoa', 'mencionado', 'no', 'grávida', 'mentira', 'sobre', 'mostrada', 'mostrado']","['A pessoa mencionada no vídeo está grávida mesmo?', 'A pessoa mencionada no vídeo está realmente grávida?', 'É mentira que a pessoa mencionada no vídeo está grávida?']"
78,83,78_pós_taping_cinta_calcinha,"['pós', 'taping', 'cinta', 'calcinha', 'usar', 'parto', 'compressão', 'cesárea', 'no', 'aplicação']","['Depois de um parto normal, é possível usar cinta no pós-parto ou apenas calcinha cintura alta?', 'Dá para usar absorvente em uma calcinha de renda no pós-parto?', 'Qual é o melhor tipo de calcinha para usar no pós-parto?']"
79,60,79_olívia_janeiro_fevereiro_nascer,"['olívia', 'janeiro', 'fevereiro', 'nascer', 'dia', 'vai', 'ou', '29', '30', 'no']","['A Olívia vai nascer em 28 de janeiro ou em 4 de fevereiro?', 'A Olívia vai nascer em 30 de janeiro ou em 3 de fevereiro?', 'A Olívia vai nascer em 30 de janeiro ou em 2 de fevereiro?']"
80,71,80_fórmula_leite_alergia_ml,"['fórmula', 'leite', 'alergia', 'ml', 'nan', 'infantil', 'integral', 'vaca', 'quantidade', 'intestino']","['O leite em fórmula é o ideal para o bebê até 1 ano de idade?', 'Depois de 1 ano de idade, pode dar leite comum integral ao bebê?', 'Existe alguma fórmula que não prenda o intestino e tenha menor chance de causar alergia em um bebê de 12 dias?']"
81,72,81_rosado_sangramento_marrom_pequeno,"['rosado', 'sangramento', 'marrom', 'pequeno', 'corrimento', 'sinal', 'atraso', 'menstrual', 'dias', 'indicar']","['O sangramento marrom, rosado e vermelho escuro após o atraso menstrual pode ser sinal de gravidez?', 'Menstruação atrasada há 3 dias com saída de borra de café e pequeno sangramento que só suja o papel higiênico pode ser sinal de gravidez?', 'Um atraso menstrual de 9 dias, com corrimento marrom claro e pequeno sangramento, pode ser sinal de gravidez?']"
82,51,82_giovana_giovanna_pai_grávida,"['giovana', 'giovanna', 'pai', 'grávida', 'namorado', 'quem', 'verdade', 'está', 'podia', 'engravidou']","['Giovanna não podia ficar grávida e agora ficou grávida?', 'Se a Giovanna estivesse realmente grávida, ele estaria tirando satisfação com o pai do bebê?', 'Se Giovanna estiver grávida, quem seria o pai do bebê?']"
83,65,83_cesárea_corte_camadas_realizar,"['cesárea', 'corte', 'camadas', 'realizar', 'mãos', 'sai', 'cesariana', 'embaixo', 'jejum', 'corta']","['Por que as mulheres que conseguem ficar de pé e cuidar do filho oito horas após uma cesariana são consideradas abençoadas?', 'Por quantos minutos o bebê permanece com a mãe após o corte do cordão umbilical na cesariana?', 'É obrigatório ter três mãos para realizar uma cesárea ou, com muito estudo, seria possível fazer o procedimento tendo apenas duas mãos?']"
84,58,84_menopausa_hormonal_anos_reposição,"['menopausa', 'hormonal', 'anos', 'reposição', 'aos', 'menstruar', '41', 'precoce', 'entrando', 'climatério']","['Existe idade limite para fazer reposição hormonal após a menopausa?', 'Mulheres com mais de 60 anos, já na menopausa e sem sintomas, precisam fazer reposição hormonal?', 'Mulheres na menopausa com endometriose podem fazer reposição hormonal?']"
85,68,85_seu_muda_luz_você,"['seu', 'muda', 'luz', 'você', 'estão', 'bebê', 'deu', '2026', 'mamãe', 'já']","['Alguém aí já deu à luz?', 'Alguém já deu à luz rindo, e não apenas sorrindo?', 'A bebê vai ficar em casa sozinha e, se vocês não estiverem lá, ela vai chorar muito?']"
86,70,86_mia_irmã_irmão_cuidar,"['mia', 'irmã', 'irmão', 'cuidar', 'reação', 'vai', 'velha', 'presa', 'língua', 'ganhar']","['Qual é a reação da Mia à notícia de que vai ter um irmão ou uma irmã?', 'Qual foi a reação da Mia ao saber que vai ganhar um irmão ou uma irmã?', 'Já contaram para a Mia que ela vai ganhar um irmão ou uma irmã, e qual foi a reação dela?']"
87,99,87_banho_recém_nascido_água,"['banho', 'recém', 'nascido', 'água', 'vernix', 'fêmur', 'chuveiro', 'tanque', 'fria', 'produto']","['O vernix que cobre o recém-nascido tem mau cheiro?', 'O banho do recém-nascido é realmente necessário?', 'Ao dar banho no bebê, é preciso lavar a região que fica na barriga dele, como o umbigo?']"
88,67,88_barriga_distensão_falar_grande,"['barriga', 'distensão', 'falar', 'grande', 'bebê', 'sobre', 'nesses', 'encaixado', 'certo', 'assim']","['Por que a barriga do bebê está assim?', 'É normal que a barriga de um bebê nessa idade seja grande?', 'Por que a barriga do bebê é tão grande?']"
89,57,89_mioma_miomas_42_cirurgia,"['mioma', 'miomas', '42', 'cirurgia', 'cm', 'submucoso', 'intramural', 'retirar', 'figo', 'deformidade']","['Uma mulher com vários miomas pode precisar de cirurgia, e existe risco de o médico ter que retirar o útero?', 'Quem tem excesso de estrogênio por adenomiose profunda corre risco de câncer de colo do útero?', 'Quais são os perigos de uma gravidez de 6 semanas em uma mulher de 42 anos com miomas de 10 cm e 7 cm submucosos?']"
90,56,90_pai_neto_leia_luccas,"['pai', 'neto', 'leia', 'luccas', 'lucas', 'robson', 'felipe', 'furacão', 'vinícius', 'júnior']","['O pai do bebê é o Lucas Neto e ele não quer falar sobre isso?', 'O pai do bebê é o Lucas Neto?', 'Lucas Neto é o pai do bebê?']"
91,76,91_indução_shake_indutor_induzir,"['indução', 'shake', 'indutor', 'induzir', 'receita', 'parto', 'óleo', 'prímula', 'induzido', 'foi']","['Antes da indução do parto, você comeu tâmaras, tomou chá de canela ou usou óleo de prímula, ou foi direto para esse método?', 'Os comprimidos usados para induzir o parto alteram a pressão arterial?', 'Qual é a receita do shake comentado para ajudar na indução do parto?']"
92,76,92_hospital_médico_tomou_consulta,"['hospital', 'médico', 'tomou', 'consulta', 'medicamento', 'melhora', 'equipe', 'remédio', 'tratamento', 'conversou']","['Esse valor inclui apenas o hospital ou também a equipe médica?', 'Devo ir ao pronto-socorro antes da consulta de segunda-feira?', 'Ninguém tomou nenhuma atitude contra esse médico?']"
93,79,93_fez_teste_confirmar_exame,"['fez', 'teste', 'confirmar', 'exame', 'você', 'sangue', 'resultado', 'positivo', 'gravidez', 'passando']","['Você já fez um teste de gravidez e qual foi o resultado?', 'Você fez o teste de gravidez e o resultado foi positivo?', 'Você fez um teste de gravidez e o resultado foi positivo?']"
94,62,94_mexer_sentir_movimentos_17,"['mexer', 'sentir', 'movimentos', '17', 'semanas', 'normal', 'mexendo', 'bebê', 'gestação', 'barriga']","['É normal, com 16 semanas e 3 dias de segunda gestação, ainda não sentir o bebê mexer?', 'É normal estar com 16 semanas de gravidez e ainda não sentir o bebê mexer?', 'É normal estar com 17 semanas de gravidez e ainda não sentir o bebê mexer?']"
95,78,95_conjuntivite_usado_olhos_olho,"['conjuntivite', 'usado', 'olhos', 'olho', 'tratar', 'melhorar', 'verde', 'soro', 'acontece', 'causada']","['O leite materno também pode ser usado para tratar conjuntivite em bebê?', 'É normal que a bebê continue com remela nos olhos por alguns dias?', 'O que pode causar a alergia forte nos olhos da minha filha, que surgiu ao nascimento e não desapareceu até quase 11 meses de idade?']"
96,66,96_estrias_óleo_melasma_cicatricure,"['estrias', 'óleo', 'melasma', 'cicatricure', 'prímula', 'solar', 'creme', 'gel', 'protetor', 'durante']","['Em quanto tempo o gel Cicatricure começa a fazer efeito nas estrias após a gravidez?', 'O gel Cicatricure fez diferença real nas estrias após a gravidez?', 'É melhor continuar usando o óleo da Muriel durante toda a gestação ou trocá-lo por outro produto?']"
97,61,97_exercícios_exercício_começar_fazer,"['exercícios', 'exercício', 'começar', 'fazer', 'correr', 'esses', 'partir', 'posso', 'treino', 'terceiro']","['A partir de quantas semanas de gestação já pode começar a fazer esses exercícios?', 'Em que momento da gestação é possível começar a fazer exercícios com a bola de pilates?', 'Com quantos meses de gravidez posso fazer estes exercícios?']"
98,47,98_coração_ouvir_batimentos_doppler,"['coração', 'ouvir', 'batimentos', 'doppler', 'fetal', 'cardíacos', 'embrião', 'escutar', 'semanas', 'conseguir']","['É normal não conseguir ouvir o coração do bebê com 14 semanas usando o doppler fetal em casa?', 'Com 13 semanas de gravidez, é normal não conseguir ouvir o coração do bebê com o Doppler fetal em casa?', 'É normal não conseguir ouvir o coração do bebê com 11 semanas e 4 dias usando o doppler fetal em casa?']"
99,71,99_descobrir_remédios_prejudicar_tomar,"['descobrir', 'remédios', 'prejudicar', 'tomar', 'formação', 'paracetamol', 'uso', 'dipirona', 'má', 'antes']","['Tomar remédios para gripe e antialérgico uma semana antes de descobrir a gravidez pode afetar o bebê?', 'O remédio que foi tomado antes de descobrir a gravidez pode ter causado algum problema ao bebê ou aumentado o risco de algo pior?', 'O uso de amoxicilina por 7 dias e dexametasona por 3 dias, antes de descobrir uma gravidez de 4 semanas, pode prejudicar o bebê?']"
100,71,100_sexuais_relações_sexual_relação,"['sexuais', 'relações', 'sexual', 'relação', 'tiveram', 'consequências', 'contrair', 'camisinha', 'teve', 'vagina']","['Ela já teve relações sexuais?', 'Devo parar de ter relações sexuais por causa desse problema?', 'Como alguém vai parar de ter relações sexuais na adolescência?']"
101,70,101_data_prevista_nascimento_olívia,"['data', 'prevista', 'nascimento', 'olívia', 'janeiro', 'fevereiro', 'da', 'provável', '30', '26']","['A data prevista para o nascimento da Olívia é 7 de fevereiro?', 'A data prevista para o nascimento da Olívia é 2 de fevereiro?', 'A data prevista para o nascimento da Olívia é 26 de janeiro ou 8 de fevereiro?']"
102,61,102_clarinha_mãe_sabe_novo,"['clarinha', 'mãe', 'sabe', 'novo', 'esperando', 'grávida', 'está', 'da', 'yuri', 'valentina']","['A mãe da Clarinha está grávida de novo?', 'É verdade que a mãe da Clarinha está grávida de novo?', 'A Clarinha já sabe que a mãe está grávida de novo?']"
103,52,103_ácido_fólico_metilfolato_ferroso,"['ácido', 'fólico', 'metilfolato', 'ferroso', 'sulfato', 'mg', 'autismo', 'suplementar', 'tomando', 'recomendação']","['Após um mês e oito dias tomando ácido fólico, já é possível tentar engravidar ou é preciso esperar três meses?', 'A dose de 5 mg de ácido fólico fornecida pelo SUS é alta, considerando que a recomendação é de 400 a 600 mcg?', 'Quem está tentando engravidar deve continuar tomando ácido fólico de 5 mg receitado pelo SUS?']"
104,63,104_bombinha_elétrica_bomba_carregada,"['bombinha', 'elétrica', 'bomba', 'carregada', 'sucção', 'liga', 'borracha', 'engolir', 'errada', 'uso']","['Como saber se a bombinha elétrica está carregada?', 'Estou usando a bombinha elétrica de forma errada, já que sinto muita dor ao usá-la?', 'Uma bombinha elétrica que liga e faz barulho, mas não faz sucção, tem alguma dica para voltar a funcionar?']"
105,65,105_remédio_engravidar_existe_impedir,"['remédio', 'engravidar', 'existe', 'impedir', 'tentando', 'rápido', 'espermatozoides', 'contínuo', 'dicas', 'deseja']","['Existe algum remédio para aumentar a ovulação em uma mulher que deseja engravidar?', 'Existe algum remédio para engravidar mais rápido?', 'Existe algum remédio para aumentar a produção de espermatozoides em um casal que deseja ter filhos?']"
106,64,106_comer_suco_comida_alimentar,"['comer', 'suco', 'comida', 'alimentar', 'introdução', 'meses', 'oferecer', 'carne', 'laranja', 'pediatra']","['É recomendado oferecer suco e carne para um bebê de 4 meses?', 'Qual é a necessidade de um bebê de 4 meses comer carne e beber suco de laranja?', 'De acordo com a Sociedade Brasileira de Pediatria, a introdução alimentar deve começar apenas aos 6 meses e o suco apenas a partir de 1 ano?']"
107,73,107_engravidar_tentando_vocês_tentar,"['engravidar', 'tentando', 'vocês', 'tentar', 'tentativas', 'contraceptivo', 'conseguir', 'você', 'todos', 'método']","['Há quanto tempo você estava tentando engravidar?', 'Vocês vão conseguir continuar tentando engravidar todos os dias?', 'Se vocês estão tentando todos os dias, isso quer dizer que estão tentando engravidar?']"
108,71,108_fértil_relação_período_ovulação,"['fértil', 'relação', 'período', 'ovulação', 'engravidar', 'relações', 'menstruação', 'sexual', 'aplicativo', 'dia']","['Há possibilidade de gravidez após uma relação com coito interrompido no primeiro dia da menstruação, mesmo tendo menstruado depois e com 5 ou 6 testes de gravidez negativos?', 'É possível engravidar após ter relação sexual enquanto estava menstruada?', 'Há chance de engravidar após ter relação desprotegida no período fértil e no dia da ovulação?']"
109,63,109_exercícios_preparar_preparação_feitos,"['exercícios', 'preparar', 'preparação', 'feitos', 'esses', 'exercício', 'devem', 'indicados', 'parto', 'para']","['Gestantes com 33 semanas e 5 dias de gravidez já podem fazer esses exercícios para se preparar para o parto normal?', 'Gestantes com 5 meses de gravidez podem fazer esses exercícios para se preparar para o parto normal?', 'Gestantes com 24 semanas de gravidez podem fazer esses exercícios de preparação para o parto normal?']"
110,53,110_contexto_gestação_segunda_evoluiu,"['contexto', 'gestação', 'segunda', 'evoluiu', 'toda', 'cuidou', 'enxoval', 'tudo', 'fala', 'tranquila']","['A gestação evoluiu bem e deu tudo certo?', 'No seu caso, depois de uma situação parecida, deu tudo certo na gravidez?', 'Na segunda gestação, é possível que tudo dê certo novamente?']"
111,55,111_diabetes_gestacional_glicemia_jejum,"['diabetes', 'gestacional', 'glicemia', 'jejum', 'relacionado', 'glicose', 'controlada', 'controlar', 'insulina', 'gestante']","['O que é diabetes gestacional?', 'Essa gestante teve diabetes gestacional?', 'Os médicos costumam induzir o parto com 37 semanas em todos os casos de diabetes gestacional, mesmo quando o bebê está com crescimento normal e a diabetes está controlada sem remédios?']"
112,45,112_pai_quem_estiver_mencionada,"['pai', 'quem', 'estiver', 'mencionada', 'nessa', 'despercebida', 'participou', 'for', 'ela', 'caso']","['A pessoa mencionada vai ser pai se a gravidez for de uma namorada?', 'Se ela estiver grávida, quem é o pai do bebê?', 'Quem é o pai do bebê, no caso de a pessoa mencionada estar grávida?']"
113,42,113_ejaculação_calcinha_penetração_sêmen,"['ejaculação', 'calcinha', 'penetração', 'sêmen', 'proteção', 'relação', 'espermatozoides', 'engravidar', 'fértil', 'pênis']","['É possível engravidar sem penetração, usando short e calcinha o tempo todo, se o sêmen caiu sobre a roupa e ficou perto da região íntima?', 'É possível engravidar tendo relação sem proteção, sem ejaculação dentro, durante o período fértil?', 'Se o sêmen entrou no short largo e foi para a calcinha, e a calcinha estava molhada por secreção no período fértil, isso pode facilitar a entrada dos espermatozoides e causar gravidez?']"
114,58,114_urinária_pélvica_fisioterapia_vagina,"['urinária', 'pélvica', 'fisioterapia', 'vagina', 'incontinência', 'sonda', 'exercício', 'exercícios', 'espirrar', 'rir']","['Quais exercícios podem me ajudar a melhorar a incontinência urinária?', 'Existe algum tratamento ou solução para a dor, o ressecamento e o rasgo no início da vagina durante a relação sexual?', 'É normal sentir um pequeno desconforto nos primeiros dias ao fazer esse exercício de apertar e soltar o canal vaginal?']"
115,84,115_experiência_natural_parto_você,"['experiência', 'natural', 'parto', 'você', 'pretende', 'passar', 'normal', 'seu', 'luz', 'conseguiu']","['Você pretende registrar o parto em vídeo ou viver essa experiência de forma mais reservada?', 'Você conseguiu ter um parto natural?', 'O que você gostaria de fazer, ou já está fazendo, para ter uma boa experiência no parto natural?']"
116,56,116_sintomas_esses_indicar_podem,"['sintomas', 'esses', 'indicar', 'podem', 'descritos', 'junto', 'gravidez', 'atraso', 'menstrual', 'sensações']","['Esses sintomas podem indicar gravidez mesmo com o teste de farmácia negativo?', 'Mesmo sendo laqueada, esses sintomas podem indicar gravidez?', 'Esses sintomas podem indicar gravidez?']"
117,69,117_gi_grávida_mostrar_zoro,"['gi', 'grávida', 'mostrar', 'zoro', 'está', 'quem', 'pai', 'trabalho', 'real', 'ela']","['A Gi deve fazer um teste de gravidez para mostrar o resultado na vida real?', 'A Gi estaria grávida aos 15 ou 16 anos?', 'Se a Gi estiver grávida, quem é o pai do bebê?']"
118,91,118_materno_leite_oferecer_paterno,"['materno', 'leite', 'oferecer', 'paterno', 'geladeira', 'ficar', 'quanto', 'retirado', 'beber', 'armazenamento']","['Quanto tempo o leite materno pode ficar fora da geladeira antes de ser dado ao bebê?', 'O leite materno pode ficar fora da geladeira por cerca de duas horas, dentro de uma bolsinha de viagem, sem estragar?', 'Por quanto tempo o leite materno pode ficar congelado?']"
119,57,119_mounjaro_enquanto_amamentando_alguma,"['mounjaro', 'enquanto', 'amamentando', 'alguma', 'amamentava', 'tirzepatida', 'tomando', 'percebeu', 'amamenta', 'usar']","['É preocupante ter tomado duas doses de Mounjaro 2,5 mg em duas semanas e descoberto a gravidez na segunda dose?', 'Alguma mãe que tomou Mounjaro enquanto amamentava percebeu alguma coisa?', 'Alguma mãe que tomou Mounjaro enquanto amamentava percebeu alguma diferença no leite materno?']"
120,50,120_linha_teste_fraca_farmácia,"['linha', 'teste', 'fraca', 'farmácia', 'linhas', 'positivo', 'resultado', 'indica', 'traços', 'duas']","['Um teste de gravidez de farmácia com duas linhas rosas, sendo a segunda bem fraca e distante da primeira, indica um resultado positivo?', 'Um teste de gravidez de farmácia com uma linha forte e outra muito fraca indica que estou grávida?', 'Um teste de gravidez de farmácia com a segunda linha fraca indica que o resultado é positivo?']"
121,69,121_lado_dormir_esquerdo_cima,"['lado', 'dormir', 'esquerdo', 'cima', 'mal', 'posição', 'baixo', 'barriga', 'gestante', 'direito']","['O que fazer quando a gestante não consegue dormir do lado esquerdo?', 'Uma gestante de 14 semanas pode dormir de barriga para cima se dormir de lado entope o nariz e afeta o nervo ciático?', 'Na gravidez, dormir do lado esquerdo significa ficar com o lado esquerdo para cima ou para baixo?']"
122,62,122_revelação_chá_descobrir_vai,"['revelação', 'chá', 'descobrir', 'vai', 'sexo', 'haver', 'será', 'fazer', 'fazem', 'vocês']","['Quando vai ser o chá revelação?', 'Vai haver chá revelação?', 'Como vai ser o chá revelação?']"
123,70,123_perdeu_kamylinha_engravidou_perder,"['perdeu', 'kamylinha', 'engravidou', 'perder', 'camilinha', 'disse', 'descobriu', 'kamila', 'camila', 'estava']","['Kamylinha perdeu o bebê?', 'A Camilinha estava grávida, perdeu o bebê e depois engravidou novamente?', 'A Kamila engravidou aos 17 anos e perdeu o bebê?']"
124,42,124_histerectomia_total_progesterona_fez,"['histerectomia', 'total', 'progesterona', 'fez', 'repor', 'retirou', 'útero', 'reposição', 'usar', 'precisa']","['Quem fez histerectomia total precisa usar progesterona?', 'Qual é a melhor forma de usar progesterona em mulheres na menopausa cirúrgica, sem útero, após histerectomia total por endometriose?', 'Quem não tem útero, após histerectomia total, também precisa usar progesterona?']"
125,47,125_urina_xixi_colocado_teste,"['urina', 'xixi', 'colocado', 'teste', 'caseiro', 'testes', 'cotonete', 'feito', 'feitos', 'comida']","['O palitinho do teste de gravidez deve ser colocado no xixi?', 'O teste de gravidez é colocado primeiro na urina e depois na comida?', 'Os testes de gravidez foram feitos com a urina da mesma grávida?']"
126,67,126_contrações_dilatação_doem_dor,"['contrações', 'dilatação', 'doem', 'dor', 'parto', 'as', 'contração', 'cm', 'partos', 'sentir']","['As contrações do parto não doem?', 'As contrações do parto realmente não doem?', 'As contrações de parto realmente doem?']"
127,64,127_sonhar_significa_luz_dando,"['sonhar', 'significa', 'luz', 'dando', 'sonho', 'significar', 'fazia', 'mulher', 'que', 'mexendo']","['O que pode significar sonhar que está grávida, sentir o bebê mexendo muito e ver as mãos e os pés dele se esticando pela pele da barriga?', 'O que significa sonhar que estou dando à luz um menino de parto normal e, em outro sonho, que estou em trabalho de parto e parindo gêmeos ao mesmo tempo?', 'O que significa sonhar por três dias que está em trabalho de parto, sem conseguir ter parto normal, sem conseguir ver a criança e, no terceiro sonho, com sangramento que levou à decisão de fazer uma cesárea?']"
128,44,128_pós_inchada_diástase_barriga,"['pós', 'inchada', 'diástase', 'barriga', 'desinchar', 'enorme', 'parto', 'gordura', 'perna', 'parecer']","['A ausência de menstruação após o parto pode causar inchaço abdominal, como se a mulher estivesse grávida de quatro ou cinco meses?', 'É normal a barriga ainda estar inchada com dois meses de pós-parto?', 'No pós-parto, é normal a barriga ainda parecer de grávida de seis meses mesmo após a mulher perder todo o peso ganho, depois de três ou quatro meses?']"
129,54,129_estupro_caso_estuprada_cuidar,"['estupro', 'caso', 'estuprada', 'cuidar', 'permitido', 'considerada', 'aborto', 'abuso', 'vítima', 'quer']","['Mesmo se a gravidez for resultado de um estupro, o aborto é permitido?', 'Uma mulher que foi violentada pelo próprio abusador pode escolher se quer ter o filho dele?', 'Não permitir o aborto em caso de estupro, mesmo quando a mãe quer interromper a gravidez, prolonga o trauma psicológico e físico?']"
130,60,130_útero_ovários_progesterona_usar,"['útero', 'ovários', 'progesterona', 'usar', 'tem', 'reposição', 'colo', 'precisa', 'via', 'mulher']","['Uma mulher que não tem útero, mas mantém os ovários, precisa usar progesterona junto com estradiol?', 'Uma mulher de 59 anos, sem útero e sem colo do útero, pode usar progesterona junto com Estradipl e testosterona?', 'Uma pessoa sem útero, colo do útero e ovários pode usar progesterona por via vaginal?']"
131,47,131_homens_engravidar_faz_sabem,"['homens', 'engravidar', 'faz', 'sabem', 'ovodoação', 'conseguem', 'gerar', 'como', 'sozinhas', 'filhos']","['Como se faz para engravidar e ter um filho?', 'Como se faz para engravidar e ter um bebê?', 'Como faço para engravidar para ter um bebê em novembro?']"
132,86,132_menino_menina_acha_certeza,"['menino', 'menina', 'acha', 'certeza', 'será', 'quis', 'dizer', 'ou', 'marcar', 'rosa']","['É um menino ou uma menina?', 'Será que é um menino ou uma menina?', 'É menino ou menina, afinal?']"
133,69,133_baleia_filhote_amamentação_baleias,"['baleia', 'filhote', 'amamentação', 'baleias', 'água', '100', 'mar', 'amamentam', 'filhotes', 'quilos']","['Um filhote de baleia mama cerca de 100 quilos de leite por dia?', 'Por que a maioria das baleias sofre, morre e muitos filhotes morrem ainda nessa fase de amamentação?', 'Se uma baleia pesa 1 tonelada e ganha 100 quilos por dia, ela chegaria a 100 toneladas na fase adulta?']"
134,66,134_alimentação_fome_alimentos_durante,"['alimentação', 'fome', 'alimentos', 'durante', 'dieta', 'gestante', 'comer', 'quantidade', 'quais', 'carnívora']","['É normal uma gestante ficar com fome uma hora depois de comer duas colheres de arroz e duas de feijão, mesmo com salada e proteína?', 'Uma gestante pode deixar de fazer o lanche da manhã se não sentir fome entre o café da manhã e o almoço?', 'Seus exames estão normais durante a gestação após começar a dieta carnívora?']"
135,43,135_cocô_fezes_evacuar_verde,"['cocô', 'fezes', 'evacuar', 'verde', 'força', 'fazer', 'normal', 'espumoso', 'muco', 'fórmula']","['É normal um bebê recém-nascido, que mama só no peito, fazer cocô líquido com muco e nunca fazer cocô pastoso?', 'É normal um bebê de 1 mês, que passou do leite materno para a fórmula, fazer cocô verde-musgo e brilhante?', 'É normal o bebê fazer cocô verde há 3 dias?']"
136,46,136_anos_16_adolescente_15,"['anos', '16', 'adolescente', '15', 'pessoa', 'engravidar', 'idade', 'engravidando', 'jovem', 'uma']","['Como ela pode estar grávida se tem só 16 anos?', 'Uma adolescente de 16 anos pode ter um filho?', 'Uma pessoa de 16 anos pode engravidar?']"
137,69,137_farmácia_negativo_testes_teste,"['farmácia', 'negativo', 'testes', 'teste', 'sangue', 'exame', 'negativos', 'resultado', 'feito', 'mesmo']","['Mesmo com dois testes de farmácia e um exame de sangue negativos, é possível estar grávida?', 'Mesmo com dois testes de farmácia e um exame de sangue negativos, ainda pode ser gravidez?', 'Devo esperar mais alguns dias e fazer um exame de sangue para confirmar se estou grávida, mesmo com dois testes de farmácia negativos?']"
138,42,138_sangramento_vermelho_vivo_apareceu,"['sangramento', 'vermelho', 'vivo', 'apareceu', 'relação', 'errado', 'sangue', 'machucado', 'algo', 'significar']","['Um sangramento vermelho vivo que aconteceu sete dias após a relação pode indicar que há algo de errado?', 'O pequeno sangramento marrom escuro que apareceu após a relação pode ter sido provocado pela relação sexual?', 'Um ponto de sangue vermelho vivo dois dias após a relação pode ser machucado ou outra coisa?']"
139,50,139_seios_nos_dor_sentiu,"['seios', 'nos', 'dor', 'sentiu', 'sentir', 'doloridos', 'ficam', 'comum', 'mamilos', 'sensação']","['Toda gestante sente dor nos seios no início da gravidez?', 'É normal não sentir dor nos seios na gravidez?', 'Você sentiu dor nos seios no início da gravidez?']"
140,52,140_domperidona_produção_aumentar_materno,"['domperidona', 'produção', 'aumentar', 'materno', 'leite', 'efeitos', 'colaterais', 'começou', 'riscos', 'quais']","['Qual foi o resultado do uso de domperidona para aumentar a produção de leite materno?', 'Quais são os efeitos adversos da domperidona usada para aumentar a produção de leite materno?', 'O uso de domperidona para aumentar a produção de leite materno causou efeitos colaterais?']"
141,46,141_outro_ela_vem_filhos,"['outro', 'ela', 'vem', 'filhos', 'jovem', 'atualmente', 'vai', 'será', 'filhas', 'nasceram']","['Ela vai ter uma menina?', 'Ela vai ter outro bebê?', 'É verdade que ela vai ganhar outro bebê?']"
