topic_id,disagreement_type,topic_size,top_words,suggestion_1,suggestion_2,suggestion_3,central_example_1,central_example_2,central_example_3,central_example_4,central_example_5,boundary_example_1,boundary_example_2,boundary_example_3,boundary_example_4,boundary_example_5,victoria_relevance,victoria_name_option,victoria_selected_name,victoria_notes,gabriel_relevance,gabriel_name_option,gabriel_selected_name,gabriel_notes,relevance,selected_name_option,manual_name,notes,annotator_id,annotated_at
145,name,69,"['dói', 'anestesia', 'cesariana', 'cesáreas', 'sente', 'cesárea', 'dor', 'menos', 'nascendo', 'relacionada']",Dor na cesariana e anestesia,Dor após cesárea e anestesia,Dor durante cesárea e anestesia,"Depois da cesárea, não dói?",A mãe sente dor na hora da cesárea?,"É verdade que, após uma cesariana, a mulher sente essa dor?",É possível passar horas com dor e ainda assim precisar de uma cesárea?,A cesárea dói muito?,"A perda de movimento do pé esquerdo e da perna em uma gestante, oito meses após cirurgia bariátrica, pode estar relacionada à falta de vitamina B12?",A diminuição dos movimentos do bebê após o uso de hidróxido de alumínio pode estar relacionada a esse medicamento?,Por que tantas crianças que estão nascendo agora estão tendo APLV?,"O que pode causar dor, sensibilidade no mamilo e um pontinho branco com saída de secreção branca em quem não está grávida nem amamentando?",Uma mulher estéril que adota um filho também passa por essa transformação de mãe?,relevante,2,Dor após cesárea e anestesia,,relevante,1,Dor na cesariana e anestesia,,,,,,,
146,name,48,"['episiotomia', 'laceração', 'evitar', 'humanizado', 'parto', 'corte', 'rasgue', 'perineal', 'fórceps', 'garfo']",episiotomia e laceração no parto humanizado,corte perineal episiotomia e laceração,evitar episiotomia e laceração no parto,"Durante o parto, é preferível rasgar naturalmente do que fazer episiotomia?",Não fazer episiotomia pode prejudicar o parto?,"Sem episiotomia, é possível não ter laceração nenhuma no parto?",O que fazer quando ocorre uma laceração durante o parto?,"Na segunda gestação, a episiotomia é necessária no parto normal?",Por que ela escolheu o garfo em vez da colher uma vez e depois escolheu o garfo duas vezes?,Como evitar dor no peito durante a extração de leite?,É pior ficar com urina na bexiga sem conseguir eliminá-la?,Como evitar engordar durante a gravidez?,Como evitar que o bebê também pegue o resfriado?,relevante,1,episiotomia e laceração no parto humanizado,,relevante,2,corte perineal episiotomia e laceração,,,,,,,
151,name,62,"['semanas', '39', 'entrar', '40', 'induzir', '37', 'trabalho', 'gestação', '42', 'ir']",Quando ir à maternidade e induzir parto,Ir à maternidade e indução do parto,Início do trabalho de parto e avaliação na maternidade,"Se eu chegar às 40 semanas de gestação, devo ir ao hospital ou esperar o trabalho de parto em casa?","Ao completar 40 semanas, devo ir para a maternidade mesmo sem a bolsa romper ou sem contrações de parto?",38 semanas de gestação é cedo para entrar em trabalho de parto?,O que fazer se eu entrar em trabalho de parto antes das 37 semanas de gestação?,"Uma gestante com 36 semanas, com parto marcado para 39 semanas, pode entrar em trabalho de parto antes da data prevista?",A reposição com Systen Conti é saudável ou é sintética?,A ideia de comer tâmaras a partir de 36 semanas de gestação é válida?,Uma gestante de 37 semanas com oligodrâmnio já deve ir à maternidade para ser avaliada?,É possível ir para a maternidade assim?,O bebê pode nascer antes de eu completar 8 anos?,relevante,2,Ir à maternidade e indução do parto,,relevante,1,Quando ir à maternidade e induzir parto,,,,,,,
154,name,61,"['teste', 'devo', 'fazer', 'atrasar', 'repetir', 'esperar', 'menstruação', 'negativo', 'gravidez', 'atraso']",Teste de gravidez após atraso menstrual,Quando fazer teste de gravidez,Repetir teste de gravidez com atraso,O teste de gravidez deve ser feito depois de 15 dias de atraso da menstruação?,Devo fazer outro teste de gravidez após dois meses sem menstruar?,Devo esperar um pouco para fazer um novo teste de gravidez?,Foi cedo demais fazer o teste de gravidez após um mês de atraso menstrual e ele ter dado negativo?,Devo repetir o teste de gravidez se a menstruação atrasar?,De quanto em quanto tempo devo fazer a lavagem nasal em bebês?,Meu filho engoliu um objeto; o que devo fazer?,Não seria melhor fazer o acompanhamento da criança desde agora?,Posso fazer o teste de farmácia no período da tarde?,Devo repetir esse exame ou posso confiar no resultado?,relevante,2,Quando fazer teste de gravidez,,relevante,1,Teste de gravidez após atraso menstrual,,,,,,,
155,name,42,"['reflexo', 'vermelho', 'olho', 'preto', 'aparecer', 'câncer', 'exame', 'feito', 'cor', 'significa']",Significado do reflexo vermelho no bebê,Interpretação do reflexo vermelho no olho,Resultado do exame do reflexo vermelho,O que significa o reflexo vermelho do olho estar preto no exame do bebê?,O que aconteceu com o olho da bebê?,E se o reflexo vermelho do olho do bebê aparecer preto?,O que significa o reflexo vermelho no exame oftalmológico do bebê?,É possível que o reflexo vermelho não apareça no exame?,Essas mensagens são destinadas apenas às crianças de até 7 anos?,Na Espanha também é feito o exame de estreptococo do grupo B na gravidez?,O teste de ovulação com carinha feliz aparece apenas uma vez ou deve ser feito mais vezes?,Por que há um ponto preto no meio da barriga em uma cesárea?,Com quanto tempo antes do atraso menstrual pode aparecer enjoo na gravidez?,relevante,3,Resultado do exame do reflexo vermelho,,relevante,1,Significado do reflexo vermelho no bebê,,,,,,,
157,name,39,"['trompas', 'ectópica', 'trompa', 'obstruídas', 'engravidar', 'dificultar', 'quadril', 'ovário', 'didelfo', 'útero']",Gravidez com trompas obstruídas,Possibilidade de engravidar trompas obstruídas,Engravidar com trompas obstruídas,É possível engravidar quando há problema nas trompas?,O que vai acontecer comigo em relação às trompas obstruídas e à possibilidade de engravidar?,Você engravidou sem as trompas?,"Mesmo tendo apenas uma trompa formada, é possível engravidar?",É possível engravidar sem as duas trompas?,Por que não fazer uma cirurgia para que a diarreia pare e ele fique melhor?,Essa técnica ajuda na displasia do quadril?,Qual é o melhor remédio para tratar um cisto no ovário identificado no exame?,Como ela vai sustentar esse bebê se não tem dinheiro nem para se sustentar?,"O seu parto foi igual ao meu, moço?",relevante,1,Gravidez com trompas obstruídas,,relevante,2,Possibilidade de engravidar trompas obstruídas,,,,,,,
2,relevance,361,"['progesterona', 'via', 'oral', 'vaginal', 'uso', 'utrogestan', 'estradiol', 'mg', 'reposição', 'usar']",Uso de progesterona na reposição,Reposição com progesterona uso,Via e tempo de progesterona,A progesterona precisa ser usada por via oral?,A progesterona deve ser tomada de forma contínua?,É aconselhável tomar um comprimido de progesterona de 100 mg por noite?,Por quanto tempo a progesterona pode ser usada?,O médico indicou para você tomar progesterona depois do ciclo menstrual?,O parto vaginal seria uma espécie de cerimônia de iniciação para a maternidade?,A tibolona é segura para uma mulher de 51 anos que está com o sono péssimo?,A via oral do Ultragestan pode causar náuseas?,O AD-Til deve ser administrado em 4 gotas por semana?,"Pode haver hipoplasia mamária mesmo com a reposição de GH, se a causa estiver relacionada a outro hormônio?",relevante,1,Uso de progesterona na reposição,,irrelevante,,,,,,,,,
10,relevance,186,"['mamadeira', 'seringa', 'alimentar', 'dar', 'sugar', 'bico', 'chupeta', 'ponta', 'leite', 'recém']",Alimentação do recém-nascido com mamadeira,Uso de mamadeira para recém-nascidos,Oferecer leite ao recém-nascido com mamadeira,Por que não dar na chiquinha ou em uma mamadeira menor para o bebê?,Por que não dão logo uma mamadeira ao bebê?,Por que não foi usada uma mamadeira para que o bebê sugasse à vontade?,Por que não usam uma mamadeira para alimentar o bebê?,Por que usar seringa para alimentar o bebê em vez de mamadeira?,"O órgão masculino serve para receber os óvulos produzidos pela fêmea, em vez de depositá-los?",O uso de chupeta na infância está associado a distúrbios alimentares ou ao vício em drogas?,"Ao preparar a fórmula, não deveria ter colocado metade da água e depois completado com o restante para não aumentar o volume?","Existem estudos consistentes, com amostra representativa e metodologia robusta, que sustentem essa afirmação sobre chupeta na infância?","Por que alimentá-lo dessa forma, deixando-o sugar tanto?",relevante,1,Alimentação do recém-nascido com mamadeira,,irrelevante,,,,,,,,,
18,relevance,134,"['diu', 'mirena', 'colocação', 'implanon', 'colocar', 'fio', 'machucar', 'pênis', 'lugar', 'inserção']",Colocação de DIU e implante,Inserção de DIU e implanon,Uso de DIU e implante contraceptivo,Qual é a vantagem de colocar o DIU?,Qual é a necessidade de colocar um DIU?,A colocação do DIU costuma ser um pouco desconfortável para a mulher?,Não é mais fácil usar camisinha em vez de colocar o DIU?,É necessário estar menstruada para colocar ou retirar o DIU?,Por que não colocar um na ponta da seringa?,É necessário colocar o bebê para arrotar?,O uso de uma cinta pode machucar ou piorar a ferida após a cesárea?,É preciso colocar alguma proteção na pontinha para não machucar o bebê?,Isso pode machucar o bebê?,relevante,3,Uso de DIU e implante contraceptivo,,irrelevante,,,,,,,,,
21,relevance,148,"['doença', 'rosto', 'tem', 'bochechinha', 'quantos', 'bebê', 'pezinho', 'aparência', 'verde', 'essa']",Doenças e exames do bebê,Problemas de saúde e exames infantis,Condições de saúde do recém-nascido,Por que esse bebê está assim?,O que é isso no bebê?,O bebê tem algum problema de saúde?,O que a pediatra da bebê orientou sobre isso?,O bebê é doente?,A dificuldade para ouvir pode estar relacionada à suspeita de síndrome genética deleção 1p36 da filha?,O nascimento de uma criança com doença congênita indica algum erro divino ou a inexistência de Deus?,Quantos anos a Izadora tem?,"O reteste da orelhinha, já agendado, pode ser feito em qualquer horário no Hospital Rio Solimões?",Quantos anos o Kaleb tem?,irrelevante,,,,relevante,1,Doenças e exames do bebê,,,,,,,
49,relevance,86,"['vitamina', 'b12', 'gotas', 'ui', 'd3', 'k2', 'crianças', 'dar', 'vitaminas', 'dose']",Suplementação de vitaminas em crianças,Doses de vitaminas para crianças,Uso de vitaminas e suplementação infantil,Qual é a quantidade de vitamina D indicada para uma menina de 3 anos?,Qual é a dose de vitamina D para meu filho de 10 anos?,O que acontece se eu der mais de uma gota de vitamina D ao meu filho apenas uma vez; isso faz mal?,Posso dar 2.000 UI de vitamina D três vezes por semana para a criança?,Dar 2 gotas de vitamina D no lugar de 1 faz mal para a criança?,Quantas crianças já foram assassinadas pelos próprios genitores porque não eram desejadas?,O Noa toma a vitamina Apevitim?,O ar-condicionado faz mal para uma criança de 4 anos que está gripada e com tosse com secreção?,"Posso tomar vitamina B12 com 35 semanas de gestação, tendo B12 de 175 e sintomas como fraqueza, formigamentos e cansaço extremo?",O que posso dar para a Maia dormir?,relevante,3,Uso de vitaminas e suplementação infantil,,irrelevante,,,,,,,,,
64,relevance,96,"['filhos', 'condições', 'mundo', 'filho', 'criar', 'ter', 'têm', 'cuidar', 'mulheres', 'sofrer']",Ter filhos apesar de falta de condições,Ter filhos sem condições de cuidar,Gravidez e maternidade com dificuldades,Por que alguém tem filho se não tem condições de criá-lo?,Por que alguém que não tem condições de ter filhos os coloca no mundo?,Por que algumas mulheres continuam tendo mais filhos mesmo dizendo que dói?,Por que uma mulher sem condições de cuidar de si mesma está tendo filhos?,Você ainda pode ter filhos?,Os outros filhos mais velhos de uma criança diagnosticada com deficiência de G6PD também podem ter a deficiência?,Pais mais velhos têm maior probabilidade de ter filhos com autismo?,"A dor de um peito empedrado também prepara para qualquer coisa na vida e no mundo, independentemente de cesárea ou parto normal?",É possível ter um filho mesmo tendo episódios de crise de pânico e medo de sofrer ataques de pânico durante a jornada da maternidade?,Quantas crianças estão morando na rua sem ter o que comer?,relevante,1,Ter filhos apesar de falta de condições,,irrelevante,,,,,,,,,
73,relevance,65,"['histerectomia', 'retirada', 'cirurgia', 'útero', 'retirar', 'total', 'aberta', 'parcial', 'abdominal', 'geral']",Histerectomia e recuperação pós operatória,Retirada do útero e cuidados,Cirurgia de retirada do útero,"Na histerectomia, é possível manter o colo do útero?",É possível retirar o útero mesmo sem ter problemas no útero?,Por que foi realizada a histerectomia?,"Na histerectomia, os médicos abrem no mesmo local de uma cesárea para retirar o útero?",É normal sentir muita dor ao se levantar depois de uma cirurgia de histerectomia feita em 18 de dezembro?,Como colocar o bebê conforto no carro de forma segura?,"No teste do pezinho, não é apenas retirada uma gota de sangue?","A saída de secreção parecida com gosma, transparente ou amarelada, durante as contrações pode ser o tampão mucoso?","Estou com 3 meses de gravidez, tenho muitas varizes e medo de que isso se torne trombose; o que devo fazer agora?",Existe um tratamento mais adequado para esse problema de amamentação ou de retirada de leite?,relevante,1,Histerectomia e recuperação pós operatória,,irrelevante,,,,,,,,,
84,relevance,58,"['menopausa', 'hormonal', 'anos', 'reposição', 'aos', 'menstruar', '41', 'precoce', 'entrando', 'climatério']",Menopausa precoce e reposição hormonal,Transição menopausal e reposição hormonal,Climatério e reposição hormonal,"Com 50 anos, é possível já estar na menopausa?","Com 49 anos e com a menstruação ficando irregular, isso pode ser sinal de pré-menopausa ou menopausa?",Tenho 45 anos e estou sem menstruar há 5 anos; isso significa que já estou na menopausa?,Ficar dois meses sem menstruar e a menstruação voltar neste mês significa que a menopausa está chegando?,Esse atraso menstrual aos 40 anos pode ser sinal de menopausa?,Esse risco é maior apenas para quem tem deficiência do hormônio GH na infância ou adolescência e não faz a reposição hormonal?,Qual é o valor do implante hormonal subcutâneo?,Os exercícios mostrados servem para tratar secura vaginal na menopausa?,Dor na bexiga pode ser causada pela menopausa?,É normal ter ciclos menstruais irregulares aos 46 anos?,relevante,3,Climatério e reposição hormonal,,irrelevante,,,,,,,,,
100,relevance,71,"['sexuais', 'relações', 'sexual', 'relação', 'tiveram', 'consequências', 'contrair', 'camisinha', 'teve', 'vagina']",Relações sexuais e risco gestacional,Relações sexuais e gravidez,Relação sexual e possibilidade de gravidez,Por que uma mulher tem relações sexuais com um rapaz e acaba grávida?,"Por que alguém engravidaria, então?",Isso quer dizer que vocês tiveram relação sexual para engravidar?,Devo parar de ter relações sexuais por causa desse problema?,Houve relação sexual sem preservativo?,"Se eu e meu marido fizermos um estudo genético antes da gestação, os riscos de o bebê nascer com alguma anomalia são eliminados?",Por que não fizeram a versão cefálica externa no meu caso para evitar que meu bebê nascesse atravessado?,"Uma pessoa com câncer terminal pode ter relações sexuais, engravidar e dar à luz?",É normal não fazer outro ultrassom e não saber o peso nem o tamanho do bebê no fim da gestação?,Você tentou ordenhar e congelar o seu leite?,relevante,2,Relações sexuais e gravidez,,irrelevante,,,,,,,,,
107,relevance,73,"['engravidar', 'tentando', 'vocês', 'tentar', 'tentativas', 'contraceptivo', 'conseguir', 'você', 'todos', 'método']",Tentativas para engravidar e método contraceptivo,Conseguir engravidar após tentativas,Engravidar após uso de contraceptivo,O que você fez para engravidar?,Depois de quantas tentativas conseguiram engravidar?,Você conseguiu engravidar?,Você já conseguiu engravidar?,Você fez algo diferente para conseguir engravidar?,Esse procedimento era aplicado todos os dias nos bebês?,Você dá Colidis ao bebê todos os dias?,Existe algo que uma gestante com colestase gestacional possa fazer?,O que está causando o refluxo no bebê?,A vitamina Folidex pode ser usada por quem está tentando engravidar do segundo filho?,irrelevante,,,,relevante,1,Tentativas para engravidar e método contraceptivo,,,,,,,
116,relevance,56,"['sintomas', 'esses', 'indicar', 'podem', 'descritos', 'junto', 'gravidez', 'atraso', 'menstrual', 'sensações']",Sintomas e atraso menstrual gravidez,Sinais de gravidez e atraso menstrual,Indicação de gravidez por sintomas,Esses sinais que estão acontecendo comigo podem indicar gravidez?,"Esses sintomas, junto com a menstruação que não veio, podem indicar gravidez?","Esses sintomas, junto com o atraso menstrual, podem indicar gravidez?",Os sintomas descritos podem indicar gravidez?,Esses sintomas podem indicar gravidez?,Roedores podem transmitir coriomeningite linfocitária na gravidez?,Como foram as primeiras 24 horas depois do parto?,Você pode me indicar uma doula?,Uma infecção urinária pode explicar o atraso menstrual e os sintomas descritos?,"Mesmo sem corrimento, essas sensações podem indicar início do trabalho de parto?",irrelevante,,,,relevante,3,Indicação de gravidez por sintomas,,,,,,,
124,relevance,42,"['histerectomia', 'total', 'progesterona', 'fez', 'repor', 'retirou', 'útero', 'reposição', 'usar', 'precisa']",Uso de progesterona após histerectomia,Reposição de progesterona após histerectomia,Progesterona na menopausa cirúrgica após histerectomia,Quem fez histerectomia total deve usar progesterona?,O uso de progesterona é indicado para mulheres que fizeram histerectomia?,"Após uma histerectomia, é verdade que não é necessário usar progesterona?","Quem fez a retirada do útero, mas ainda tem os ovários, deve usar progesterona?",Quem já retirou o útero também precisa repor progesterona?,Um bebê de 4 meses também deve usar 4 puffs de 6 em 6 horas?,Qual a porcentagem de iodo que a gestante deve usar?,"Foi feito repouso total, levantando apenas para ir ao banheiro e comer?","Em uma gestante com histórico de trabalho de parto prematuro, em uso de progesterona e com colo curto, qual conduta deve ser adotada: cerclagem, pessário ou outra medida?",Como saber quando a gestante deve usar pessário por ICC?,relevante,1,Uso de progesterona após histerectomia,,irrelevante,,,,,,,,,
130,relevance,60,"['útero', 'ovários', 'progesterona', 'usar', 'tem', 'reposição', 'colo', 'precisa', 'via', 'mulher']",Reposição de progesterona sem útero,Uso de progesterona sem útero,Progesterona na ausência de útero,Quem não tem útero pode tomar progesterona?,"E quando a mulher não tem útero, como fica o uso de progesterona?",Quem não tem útero precisa usar progesterona?,Quem não tem útero precisa tomar progesterona?,Uma pessoa que não tem útero pode usar progesterona?,Uma bebê de 2 meses que regurgita muito pode usar Aptamil RR?,Os dois passaportes do bebê precisam ter o mesmo nome?,É normal que as perninhas do bebê fiquem muito abertas ao usar o canguru?,"Quando o bebê chega em casa, pode usar ventilador nele?",Quem faz tratamento da tireoide com Puran pode usar o indutor de ovulação Indux?,relevante,1,Reposição de progesterona sem útero,,irrelevante,,,,,,,,,
133,relevance,69,"['baleia', 'filhote', 'amamentação', 'baleias', 'água', '100', 'mar', 'amamentam', 'filhotes', 'quilos']",Amamentação e saúde materna,Cuidados na amamentação materna,Amamentação da mãe e do bebê,Por que não se deve beber nada durante a amamentação?,"Durante a amamentação, é necessário dar pequenas pausas para o bebê respirar?",É verdade que a baleia amamenta seu filhote?,Bebês conseguem mamar e respirar ao mesmo tempo nessa fase?,Como o filhote não engole água junto com o leite durante a amamentação?,"O teste de ovulação negativo feito no 11º dia de um ciclo de 27 dias, com dor no lado direito e ingestão de muitos chás e água, pode ser um falso negativo?",Qual deve ser a temperatura da água para preparar essa fórmula? A água precisa estar quente?,A fertilização in vitro funciona 100% das vezes?,"Se uma baleia pesa 1 tonelada e ganha 100 quilos por dia, ela chegaria a 100 toneladas na fase adulta?",Você está comendo muitos carboidratos nas refeições?,relevante,1,Amamentação e saúde materna,,irrelevante,,,,,,,,,
150,relevance,52,"['sintomas', 'sintoma', 'sentiu', 'quais', 'mesmos', 'relatou', 'os', 'sentindo', 'apresentar', 'nenhum']",Sintomas de gravidez e ausência,Sintomas na gravidez e falta,Relato de sintomas de gestação,Quais sintomas de gravidez você teve?,Quais sintomas de gravidez você sentiu?,Quais foram os sintomas no início da sua gravidez?,Quais sintomas você sentiu no início da gravidez?,Quais são os sintomas da gravidez no primeiro mês?,Você melhorou dos mesmos sintomas de dor na virilha e no reto após a cirurgia?,Quais fórmulas infantis são boas?,Quais eram os sintomas de refluxo da sua filha?,"O relato seria sobre o processo para engravidar, como ele se sentiu e a perspectiva dele?",Quais hospitais já oferecem essa pulseirinha nas maternidades?,irrelevante,,,,relevante,1,Sintomas de gravidez e ausência,,,,,,,
